NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Sociedad de Obreros Albañiles....................;1900;Mejorar las conidiciones del trabajo.;Almansa ;ALBACETE;75;;;;75
.Sociedad,.de Obreros Agricultores ........ ~ .......;1903;Idem... ·...·.... ·...................;Idem ......;ALBACETE;421;;;;421
...Agrupación Socialista. ................;1903;"Política de partido......... , .... ; .";Idem ..........;ALBACETE;35;;;;35
La Esperanza.. ........ '.' .............. ~ ........;1903;"Socorro mutuo; ...................";Barrax ..........;ALBACETE;115;;3;;118
"El Porvenir............... "" .....................";1903;Mejorar las condiciones del trabajo.;Bonete............ 310 » » 1 311;ALBACETE;310;;;1;311
La Humildad (obreros agrícolas) ............~ ....;1904;Idem;Caudete ....... : .. 530 » » » 530;ALBACETE;530;;;;530
Sociedad de Obreros Albañiles .......... : .........;1904;Idem… ·........................;Idem ........... 50 » » » 50;ALBACETE;50;;;;50
La Invencible ...................... .............;1903;Socorro mutuo ...................;Higueruela, . ...... 40 » » 50 . 90;ALBACETE;40;;;50;90
La Redención .. .................................;1904;Mejorar las condiciones del trabajo.;Montealegre ...... 290 » » » 290;ALBACETE;290;;;;290
La Emancipación . .................... : .........;1902;Socorro mutuo ...................;Ontur ............ 274 » » » 274;ALBACETE;274;;;;274
