NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Centro de Dependientes del Comercio y de la Industria;1899;Mejorar las condiciones del trabajo.;SANTA CRUZ DE TENERIFE;CANARIAS;150;;2;30;182
:Sociedad de Albañiles y sus similares;1901;Mejorar las condiciones del trabajo.;Idem;CANARIAS;169;;;;169
La Bienhechora.;1870;Socorro mutuo. . . • • . . . . . . . . . . . . . .;Idem;CANARIAS;632;;;;632
:Centro Obrero.. . • . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ..;1900;Instrucción.. . . • . . . . . . • • • • • . . . • • .;Idem;CANARIAS;1220;;;;1220
: Circulo deArtesanos.. . . . . . . . . . . . . . . . . . . . . . . . . . ..;1899;Recreo.. • • • . . . . . . . • . . . . . . . . . • . . ..;Guía;CANARIAS;124;1;;;125
Sociedad Católica de Obreros;1876;Socorro mutuo...................;La Laguna;CANARIAS;199;;39;;238
Circulo Católico de Obreros;1873;Acción católica. • • . • • . . . . • . . . • . • ••;Las Palmas;CANARIAS;302;5;20;1;328
Asociación de Trabajadores..;1871;Socorro mutuo. . • . . • • • . • • • • . • . • • •;Idem ..........•;CANARIAS;850;;;;850
El Amparo del  Obrero;1894;Idem;Santa Cruz de la Palma;CANARIAS;20;11;;1;32
