NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Caja de crédito popular Santa Teresa de Jesús .;1904;Cooperativa de créd~to;ÁVILA;ÁVILA;15;;;14;29
Casino Hijos del Trabajo .;1903;Recreo;. Idem..........•;ÁVILA;186;;;;186
Sociedad general de Oficios varios .....•..........;1904;Mejorar las condiciones deltrabajo.;Arévalo;ÁVILA;80;;;;80
Sociedad obrera San Juan de la Cruz.•...•.......;1902;Socorro mutuo ..............•....;Fontiveros;ÁVILA;110;;;10;120
