NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
La Benéfica (maquinistas y fogoneros del ferrocarril) ....;1886;Mejorar las condiciones del trabajo.;Leon;LEON;200;;;;200
: Gremio de Curtidores......... , ...... , ...........;1900;Idem. .................................;Idem;LEON;20;;;;20
¡Sociedad de Obreros constructores de calzado .....;1900;Idem. ..............................;Idem;LEON;34;;;;34
¡ Sociedad de Carpinteros. ...........................;1900;Idem...........................;Idem;LEON;30;;;;30
¡. Sociedad de Obrerós albañiles....................;1900;Idem. ..............................;Idem;LEON;79;;1;;80
¡ El Progreso (canteros, marmolistas y similares) ..;1900;Idem. ••••••••••••••••• 0 •••••••;Idem;LEON;30;;;;30
 Sociedad de resistencia de Obreros peones ........;1902;Idem. ...........................;Idem;LEON;68;;;;68
Círculo Católico de Obreros. .................................... ..;1900;Acción católica. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. ..;Astorga..........;LEON;147;20;3;8;178
La Redentora (mineros). ..............................................;1903;"Mejorar las condiciones del trabajo... .. "" ......";Ciliera;LEON;50;;;;50
. Sociedad Obrera agrícola.....................;1904;Idem. lO' ••••••••• lO •••• lO, ••••••••;Gordoncillo . ......;LEON;21;;;;21
. Sociedad Obrera agrícola.....................;1904;Idem. lO •••••••••••••••• lO., lO ••••;Grajal de Campos.;LEON;150;;;;150
. Sociedad Obrera agrícola.....................;1894;.Idem..........................;Galleguillos d .Campos . ........;LEON;25;;;;25
, Sociedad agrícola. ............... ••••••••••••••;1904;Idem. lO .........................;Galleguillos de Campos (Arenillas de Valderaduey);LEON;34;;;;34
La Primera.. ..... : .......................... '...;1904;Idem. ••••••••• lO' ••••••••••• lO ••;La Pola de Gordón.;LEON;22;;;2;24
Agrupación Socialista Obrera ....................;1904;Política de partido................;Pozuelo del  Paramo .......... :;LEON;15;;;;15
Agrupación Socialista Obrera ....................;1904;Idem. lO·· lO •• lO •• lO.' •••••••••• lO ••;San Adrián del Valle ...........;LEON;16;;;;16
Sociedad Obrera. ...............................;1904;Mejorar las condiciones del trabajo.;Valderas.;LEON;15;;;;15
[ Asociación Obrera...............................;1904;Idem ................•.........;Villafer. ••••••••;LEON;45;12;6;7;70
