NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Sociedad de Obreros canteros. ...................................;1899; Mejorar las condiciones del trabajo.;Toledo;TOLEDO;24;;;;24
La Progresiva (obreros albañiles) ................;1900;Idem;Idem;TOLEDO;650;;;;650
 La Defensa (obreros carpinteros). ..................... ;1900;Idem;Idem;TOLEDO;175;;;;175
La Unión (obreros panaderos);1900;Idem;Idem;TOLEDO;116;;;;116
El Buen Deseo (obreros en hierro y demás metales).;1900;"Idem........................ "" Idem..........................";Idem;TOLEDO;240;;;;240
Sociedad de Obreros molineros ...................;1900;Idem. ........... ........... .......;Idem;TOLEDO;30;;;;30
Agrupación general de Camareros y Cocineros....;1902;Idem. ...........................;Idem;TOLEDO;72;;;;72
"Sociedad de Profesiones y Oficios varios ... "" .....";1903;Idem. .... ··.·0 .................;Idem;TOLEDO;50;;;;50
'Sociedad de Obreros zapateros y Guarnicioneros..;1903;Idem. .................................;Idem;TOLEDO;110;;;;110
La Rueda ( mayorales, cocheros y conductores de carruajes) ................ : ...................;1903;Idem. .. lO .....................................;Idem;TOLEDO;82;;;;82
Gutenberg (Sociedad del Arte de Imprimir)........;1903;Idem. .. lO .................................;Idem;TOLEDO;30;;;;30
La Esperanza (obreros tejeros y similares) .......;1903;Idem. lO ...............................;Idem;TOLEDO;40;;;;40
La Productora (obreros agricolas y similares) ....;1903;Idem. i............. ...............;Idem;TOLEDO;456;;;;456
Sociedad Humanitaria Obrera.;1903;. .....Socorro mutuo ...................;Madridejos;TOLEDO;280;;;;280
...... ........ ... La Buena Idea.;1904;Mejorar las condiciones del trabajo.;Argés. ...........;TOLEDO;21;;;;21
: El Camino del Progreso . ........................;1904;Idem. .........................;Bargas. ..........;TOLEDO;562;;;;562
Unión Benéfica de Trabajadores..................;1904;Socorro mutuo....................;Cabezamesada. ...;TOLEDO;27;24;20;;71
La Razón.;1904;Mejorar las condiciones del trabajo.;Carpio de Tajo. . .;TOLEDO;300;;;;300
Sociedad Obrera de Socorros mutuos .............;1904;"Socorro mutuo........ '""";......... Cedillo. .............;TOLEDO;36;;;;36
La Honradez Obrera . ........... , ...............;1902;Idem. .............................;Consuegra . .......;TOLEDO;217;;;3;220
La Invencible .. ..•..............................;1904;Mejorar las condiciones del trabajo.;Gerindote. ........;TOLEDO;228;;;1;229
La Previsión (obreros agrícolas) ............. : ...;1902;"Idem. ..........; ...............";Mora;TOLEDO;477;;1;;478
Sociedad de Profesiones y Oficios varios..........;1903;Mejorar las condiciones del trabajo.....;Mora .........;TOLEDO;19;;;;19
La Humanitaria. ........•.•..................•.;1904;Socorro mutuo....................;Oropesa y Corchuela.....;TOLEDO;448;;1;5;454
Centro Recreativo de Obreros....................;1903;Recreo...........................;Polán . .......•.....;TOLEDO;51;;;;51
La Fraternidad ... ..............................;1904;Socorro mutuo........ ~ ....................;. Quero . .;TOLEDO;43;;;;43
La Constancia Obrera. ..........................;1903;Mejorar las condiciones del trabajo......;Romeral.....;TOLEDO;252;;;;252
La Fe . ..........................................;1904;Idem. .........................;.. San Martín de Pusa ....;TOLEDO;16;;;;16
La Nueva Aurora. ..............................;1904;Idem;Santa Olalla;TOLEDO;67;;;;67
El Progreso (obreros agricolas). ...................;1902;Idem. . .......................... ........;Tembleque;TOLEDO;140;;;;140
La Emancipación. ........................;1902;Idem....................................;Turleque;TOLEDO;45;;;;45
La Piña. .....;1904;Cooperativa de crédito............;Villafranca de los Caballeros;TOLEDO;158;;;;158
La Humanitaria ........................... '...•.;1902;Socorro mutuo.............................;. Idem. .;TOLEDO;108;;;;108
