NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Sociedad de Carpinteros y Ebanistas ………….;1890;Mejorar las condiciones del trabajo.;PONTEVEDRA...;PONTEVEDRA;200;;;;200
Sociedad de Canteros........... , ......;1895;Idem;Idem. ..............;PONTEVEDRA;306;;;;306
Sociedad de Obreros curtidores........... , ..... , .;1902;Idem;Idem. .............;PONTEVEDRA;32;;;;32
Sociedad de Canteros............................;1904;Idem;Puente Caldelas ..;PONTEVEDRA;50;;;;50
Sociedad de Obreros agrícolas.;1903;Idem;Tuy (Pazos de Reyes) ............;PONTEVEDRA;70;;;;70
Asociación de Obreros agrícolas. ……………….;1903;Idem;Idem (Randufe).;PONTEVEDRA;150;;;;150
Sociedad de Carpinteros .........................;1902;Idem;Tuy..............;PONTEVEDRA;35;;;;35
Sociedad de Obreros agrícolas....................;1904;Idem;ldem (Ribadelouro).........;PONTEVEDRA;70;;;;70
Unión general Agrícola..;1902;Idem;ldem ( Ar'eas,Santa Marina);PONTEVEDRA;100;;;;100
Círculo Católico de Obreros .................... “;1904;Acción católica...................;Vigo .............;PONTEVEDRA;536;;2;26;564
Sociedad de Canteros ……………………….;1894;Mejorar las condiciones del trabajo.;Idem;PONTEVEDRA;310;;;;310
Sociedad de Pintores y Albañiles ……………..;1894;Idem;Idem;PONTEVEDRA;230;;;;230
Sociedad de Hojalateros soldadores..;1897;Idem;Idem;PONTEVEDRA;148;;;;148
Sociedad de Obreros panaderos……………….;1899;Idem;Idem;PONTEVEDRA;98;;;;98
Sociedad de obreros peones;1900;Idem;Idem;PONTEVEDRA;150;;;;150
Asociación general de Dependientes del'Comercio. I;1900;Idem;Idem;PONTEVEDRA;150;1;;25;176
Asociación Tipográfica y Artes. similares.;1900;Idem;Idem;PONTEVEDRA;73;;;;73
Sociedad de Obreros zapateros.;1901;Idem;Idem;PONTEVEDRA;60;;;;60
Federación de Trabajadores......................;1895;Idem;Idem;PONTEVEDRA;1108;;;;1108
Agrupación Socialista ...........................;1900;Política de partido................;Idem;PONTEVEDRA;74;;;;74
1 Sociedad de Cante•ros............................;1900;Mejorar las condiciones del trabajo.;Bayona...........;PONTEVEDRA;36;;;;36
Federación de Trabajadores......................;1901;ldem. .................... oo ..............;ldem. .. ...........;PONTEVEDRA;90;;;;90
 Trabajo;1900;ldem. 'O ...... .o ....................... .o ....;Bouzas. .. ............;PONTEVEDRA;74;;;;74
Sociedad de Soldadores de conservas..............;1901;ldem. ................ .o •• oo •• .o ...........;ldem. .. ............;PONTEVEDRA;120;;;;120
Sociedad de Canteros .. ..........................;1896;ldem. .. ...................... .o ..............;Bueu. ............;PONTEVEDRA;20;;;;20
 Sociedad de Canteros .. ••;1902;ldem. .. .............................................;Gangas ...........;PONTEVEDRA;55;;;;55
Unión Carrileña.................................;1903;"ldem. ................ oo ............. '"" ............";Carril. .. ..............;PONTEVEDRA;676;;4;;680
 Sociedad de Oficios y Profesiones varias ..........;1902;ldem. ..... • ........ •• ........ oo ............;Gondomar'........;PONTEVEDRA;80;;;;80
La Nueva Idea. .................................;1904;ldem. .. .o .....................................;"Lalin.. .. '"" .....";PONTEVEDRA;30;;;;30
Agrupación Socialista ...........................;1904;Política de partido................;Lavadores. .......;PONTEVEDRA;23;;;;23
Sociedad de Canteros............................;-1896;Mejorar las condiciones del trabajo.;Marín.. .......... ......;PONTEVEDRA;148;;;;148
No más deberes sin derechos no más derechos sin deberes (obreros carpinteros)..;1897;Idem;Idem;PONTEVEDRA;40;;;;40
El Porvenir de la Mujer .. .......................;1900;Idem;ldem. ..........;PONTEVEDRA;100;;;;100
Asociación de Marineros pescadores pulperos ..... ;1902;Idem;ldem. ...................;PONTEVEDRA;20;;;;20
Asociación de Marineros pescadores ..............;1903;Idem;ldem. . ...........;PONTEVEDRA;18;;;;18
Federación Obrera...............................;1901;Idem;ldem.;PONTEVEDRA;?;?;?;?;?
Sociedad de Canteros........ , ...................;1899;Idem;"Porrino........ '""";PONTEVEDRA;43;;;;43
Sociedad de Constructores de calzado......•......;1903;Idem;ldem, .. ...............;PONTEVEDRA;20;;;;20
Federación local de Trabajadores.................;1900;Idem;ldem. .. ...............;PONTEVEDRA;134;;;;134
Sociedad de Obreros agrícolas....................;1904;Idem;Salceda...........;PONTEVEDRA;67;;3;;70
Sociedad de Oficios varios........................;1903;Idem;Sangenjo .........;PONTEVEDRA;109;;;;109
Sociedad de Canteros.. ............................... .. .;1903;Idem;"Vilaboa..... ... '""";PONTEVEDRA;106;;;;106
 Asociación de Marineros.........................;1900;Idem;Villajuán. ........;PONTEVEDRA;238;;;;238
