NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
La Progresiva Obrera;1903;Cooperativa de consumo;Zamora;ZAMORA;40;;;;40
El Duero;1900;Coral;Idem;ZAMORA;65;2;8;40;115
"Círculo Católico de Obreros """;1898;Acción católica;¡Benavente;ZAMORA;268;;6;40;314
Asociación Obrera Agricola. :;1903;Mejorar las condiciones de trabajo;Villalpando;ZAMORA;178;;;;178
Sociedad de Obreros agricultores;1903;Idem;Cañizo;ZAMORA;8;;;;8
Sociedad Cooperativa y de resistencia ,;1904;Idem;Fresno de la Polvorosa;ZAMORA;28;;;;28
Asociación Obrera Cooperativa y de resistencia...;1904;Idem;Moral del Rey;ZAMORA;27;;;;27
"Sociedad de Obreros agricultores, """;1903;Idem;". Revellinos. """;ZAMORA;8;;;;8
Asociación Obrera Agrícola y Económica;1904;Idem;. .San Cristóbal de Entreviñas;ZAMORA;88;;;;88
Asociación Obrera Cooperativa y de resistencia de Obreros agrícolas;1904;Idem;San Roman del Valle;ZAMORA;45;;;;45
Sociedad Obrera Ag'ricola económica :y de resistencia. . . . . . . . . . . . . . . . . . . . . .;1904;Idem;Santa Colomba de Carabies;ZAMORA;24;;;;24
Asociación Obrera Agrícola Económica Cooperativa y de resistencia;1904;Idem;Santa Cristina de Polvorosa;ZAMORA;70;;;;70
"Soeiedad Obrera """;1904;Socorro mutuo;Sanzoles;ZAMORA;77;;;;77
Asociación Obrera Cooperativa y de resistencia...;1904;Mejorar las condiciones del trabajo.;Villabrázaro . .....;ZAMORA;80;;;;80
Sociedad de Obreros agricultores.................;1903;Idem. ..............................................;Villalobos.. ........;ZAMORA;80;;;;80
"Sociedad de Obreros agricultores.... "" .........."".";1903;Idem. ....................................;Villamayor de Campos;ZAMORA;56;;;;56
"1 Sociedad de Obreros agrícolas................. ; ..";1901;Idem..........................;Villanueva del Campo;ZAMORA;29;;;;29
