NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;Observaciones
Circulo Católico de Qbreros .;1884;Acción católica...................;BURGOS.........;BURGOS;563;;4;270;837;
La: Auxiliar (obreros guanteros y similares) .;1887;Mejorar las condiciones del trabajo.;Idem;BURGOS;16;;;;16;
".Sociedad de Oficios varios ; .";1892;Idem;Idem;BURGOS;350;;;;350;
"Sociedad de Trabajadores en madera: "" '""";1899;Idem;Idem;BURGOS;159;;;;159;
Sociedad de Jalmeros .;1900;Idem;Idem;BURGOS;54;;;;54;
Sociedad de Canteros .;1900;Idem;Idem;BURGOS;122;;;;122;
Sociedad de Albañiles .;1900;Idem;Idem;BURGOS;117;;;;117;
Asociación Tipográfica y de Oficios similares .;1900;Idem;Idem;BURGOS;41;;;;41;
Sociedad de Zapateros .;1900;Idem;Idem;BURGOS;14;;;;14;
Sociedad de Tejedores .;1901;Idem;Idem;BURGOS;6;;;;6;
Sociedad de Obreros panaderos .;1901;Idem;Idem;BURGOS;11;;;;11;
"Sociedad de Zapatilleros "" .";1902;Idem;Idem;BURGOS;16;;;;16;
Sociedad de Trabajadores en hierro .;1902;Idem;Idem;BURGOS;38;;;;38;
Sociedad de Obreros peones ~ .;1903;Idem;Idem;BURGOS;170;;;;170;
Federación de Sociedades obreras .;1904;Idem;Idem;BURGOS;1.200;;;;1.200;
Sociedad de Socorros mutuos de Obreros republicanos ~ .;1902;. Socorro mutuo .;Idem;BURGOS;190;;;40;230;
Sociedad Católico-benéfica de Obreras .;1904;Idem;Idem;BURGOS;16;;18;;34;Constituida por mujeres.
Agrupación Socialista .;1900;Política de partido .;Miranda de Ebro;BURGOS;41;;;;41;
Circulo Católico de Obreros .;1904;Accion católica .;Roa: .;BURGOS;354;12;2;49;417;
Sociedad de Socorros mutuos de Obreros .;1904;: Socorro mutuo.. . . . . . . .. . .;Melgar de Fernamental.. .;BURGOS;292;;;21;313;
Círculo de Obreros Wamba.: .;1892;Idem;Pampliega .;BURGOS;91;;2;;93;
 El Amanecer .;1903;Mejorar las condiciones del trabajo.;Zazuar .;BURGOS;24;;;;24;
