NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Sociedad de Obreros en madera;1900;Mejorar las condiciones del trabajo.;Palencia;PALENCIA;45;;;;45
Gremio de Albañiles y Peones. ,;1901;"ldem.. '"" .";Idem;PALENCIA;247;;;;247
Sociedad de Canteros marmolistas. .;1901;ldem .;Idem;PALENCIA;7;;;;7
Sociedad de Obreros agrícolas. .;1901;ldem , .;ldem;PALENCIA;17;;;;17
Sociedad de Obreros tipógrafos;1901;"ldem.. '"" .";ldem;PALENCIA;50;;;;50
Sociedad de Obreros en hierro y demás metales;1902;ldem .;ldem;PALENCIA;51;;;;51
Sociedad de Obreros panaderos;1903;Idem;"ldem. '""";PALENCIA;20;;;;20
Agrupación Socialista .';1900;Política de partido .;ldem;PALENCIA;10;;;;10
"Círculo Católico de Obreros. "" . """;1893;Acción católica .;Astudillo;PALENCIA;98;;31;6;135
La Unión (obreros mineros).;1900;Mejorar las condiciones del trabajo.;Barruelo de Santullán;PALENCIA;170;;;;170
Círculo de Obreros;1900;Instrucción y recreo .;Becerril de Campos;PALENCIA;173;;;30;203
"Sociedad Obrera de Agricultores ...• , , ""••........";1904;Mejorar las condiciones del trabajo.;Boadilla de Rioseco;PALENCIA;98;;;;98
Sociedad Benéfica ..•............................;1903;Socorro mutuo;Castromocho;PALENCIA;51;;;12;63
La Protectora;1902;ldem .;Cordobílla la Real.;PALENCIA;20;;;;20
Sociedad de Socorros mutuos de Obreros;1902;ldem .;Grijota;PALENCIA;100;;5;5;110
Sociedad de Socorros mutuos de Obreros;1902;ldem , .;Herrera de Pisuerga;PALENCIA;150;2;4;;156
Círculo Católico de Obreros;1900;Acción católica. . . . . . . . . . . . . . . • . ..;Osorno;PALENCIA;230;14;12;186;442
Purísima Concepción. .;1904;Socorro mutuo ~ ,;Piña de Campos;PALENCIA;53;1;4;;58
Sociedad de Socorros mutuos de Obreros;1902;Idem . . . . . . . . . . . . . . . . . . . . . . . . ..;Santoyo..;PALENCIA;141;7;1;;149
Sociedad Católica agrícola-industrial obrera de Socorros mutuos;1904;ldem.;Villada ';PALENCIA;154;3;6;53;216
Sociedad de Agricultores;1904;Mejorar las condiciones del trabajo.;Villada;PALENCIA;100;;;;100
Sociedad catolica benefica obrera;1904;Socorro mutuo ;Villacidaler;PALENCIA;50;;;14;64
La Protectora;1902;Idem;Villahan de Palenzuela;PALENCIA;46;;;;46
Sociedad obrera de socorros mutuos;1902;Idem;Villamartin de Campos;PALENCIA;35;;;5;40
Sociedad de socorros mutuos de obreros;1902;Idem;Villamediano;PALENCIA;104;;;;104
Sociedad de socorros mutuos de Obreros de San Jose;1897;Idem;Villamuriel;PALENCIA;170;2;4;4;180
Union Prosperativa;1903;Idem;Villarramiel;PALENCIA;150;;7;1;158
