NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Sociedad de Oficiales Albaniles;1890;Mejorar las condiciones de trabajo;Lerida;LERIDA;140;;;;140
Sociedad de Peones Albaniles;1900;Idem;Idem;LERIDA;106;;;;106
Sociedad de Obreros panaderos;1902;Idem;Idem;LERIDA;42;;;;42
Sociedad Encargados de Obra;1902;Idem;Idem;LERIDA;16;;;;16
Sociedad Obreros Ladrilleros;1902;Idem;Idem;LERIDA;27;;;1;28
La Union (peluqueros barberos);1903;Idem;Idem;LERIDA;30;;;;30
Sociedad Oficiales zapateros;1903;Idem;Idem;LERIDA;120;;;;120
Sociedad de Camareros;1903;Idem;Idem;LERIDA;56;;;;56
Sociedad Constructores de Carros y Herreros;1904;Idem;Idem;LERIDA;32;;;;32
Federacion Provincial Obrera;1903;Idem;Idem;LERIDA;250;;;;250
Centro Obrero Republicano;1902;Politica de partido;Alguerri;LERIDA;1.462;1;1;1;1465
Sociedad Obrera Productiva y Auxiliar;1903;Mejorar las condiciones de trabajo;Alguaire;LERIDA;137;;;;137
Sociedad de Albaniles y Picapedreros;1901;Idem;Borjas;LERIDA;32;;;;32
Sociedad Cooperativa benefica obrera Borjense;1898;Socorro mutuo;Idem;LERIDA;202;;22;1;225
Sociedad Agricola Obrera;1903;Mejorar las condiciones de trabajo;Os de Balaguer;LERIDA;80;;;;80
Centro Republicano Obrero Instructivo;1903;Politica de partido;Tarrega;LERIDA;216;2;11;;229
Centro Agricola Obrero;1903;Mejorar las condiciones de trabajo;Trago;LERIDA;27;;;;27
Sociedad Obrera Progresista;1902;Idem;Trago(Boix);LERIDA;21;;4;;25
Sociedad Obrera Agricola de Socorros Mutuos;1904;Socorro mutuo;Valldert;LERIDA;26;;;;26
La Armonia Verdunense;1896;Coral;Verdu;LERIDA;30;;;160;190
