NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Círculo Católico de Obreros;1882;.Acción católica...................;CASTELLÓN;CASTELLÓN;290;;;80;370
Sociedad de Marineros , ~.';1898;Mejorar las condiciones del trabajo.;Idem;CASTELLÓN;396;;4;;400
. La Castellonense (obreros albañiles);1899;Idem;Idem;CASTELLÓN;248;;4;;252
.La Unión (obreros en azulejos);1900;Idem;Idem;CASTELLÓN;81;;1;;82
Sociedad de Aserradores mecánicos y demas trabajadores en maderas;1900;Idem;Idem;CASTELLÓN;30;;;;30
El primero de Mayo (obreros' panaderos);1900;Idem;Idem;CASTELLÓN;78;;;;78
La Progresiva (peones albañiles);1900;Idem;Idem;CASTELLÓN;249;;1;;250
La Perla (obreros en ladrillos y tejas);1900;Idem;Idem;CASTELLÓN;25;;1;;26
Sociedad de Guarnicioneros;1900;Idem;Idem;CASTELLÓN;3;2;2;1;8
La Emancipación (obreros en hierro y demas metales)...............•........;1900;Idem;Idem;CASTELLÓN;32;;;;32
La Espiga (obreros agrícolas);1901;Idem;Idem;CASTELLÓN;449;;1;;450
Sociedad de Oficiales toneleros;1901;Idem;Idem;CASTELLÓN;6;;;;6
Solidaridad (obreros zapateros);1903;Idem;Idem;CASTELLÓN;15;2;6;;23
La Proteccion (obreros camareros, cocineros y reposteros);1901;Socorro mutuo ...................;Idem;CASTELLÓN;32;;;4;36
La Unión (obreros alpargateros);1904;Idem;Idem;CASTELLÓN;150;;;26;176
Agrupación Socialista Obrera;1899;Política de partido................;Idem;CASTELLÓN;89;;;;89
Hermandad de Obreros católicos de Nuestra Señora de la Esperanza;1901;Acción católica...................;Albocácer ........;CASTELLÓN;262;;;57;319
. Gremio de Tejedores de Obreros católicos bajo el patronato de San Julián Martir;1902;Idem;Morella;CASTELLÓN;240;;16;;256
Hermandad de Obreros católicos de Nuestra Señora de los Ángeles. •••••••••...........;1902;Acción católica...................;San Mateo........;CASTELLÓN;149;;11;34;194
Círculo de Obreros católicos. •;1881;Idem;Segorbe ..........;CASTELLÓN;325;;;25;350
Circulo Católico de Obreros ......................;1887;Idem;Vinaroz ..........;CASTELLÓN;95;;;35;130
Sociedad de Oficiales toneleros ...................;1868;Mejorar las ·condiciones del trabajo.;Idem;CASTELLÓN;70;;;;70
El Progreso (obreros del puerto) ..................;1883;Idem..........................;Idem;CASTELLÓN;608;6;3;1;618
Sociedad de Carreteros...........................;1901;Idem;Idem;CASTELLÓN;320;;;;320
Sociedad de Peones jornaleros....................;1901;Idem;Idem;CASTELLÓN;350;;;;350
Sociedad de Oficiales carpinteros .................;1901;Idem;Idem;CASTELLÓN;29;;;;29
"El Progreso (obreros zapateros)...... "" ...........";1901;Idem;Idem;CASTELLÓN;42;;;8;50
Sociedad de Oficiales panaderos ..................;1903;Idem;Idem;CASTELLÓN;31;;;;31
"La Unión (obreros chocolateros) ... "" ........ , ....";1903;Idem;Idem;CASTELLÓN;15;;;5;20
La Vinarocense (obreros albañiles) ...............;1903;Idem;Idem;CASTELLÓN;27;;7;6;40
Unión de Descargadores .........................;1904;Idem;Idem;CASTELLÓN;105;;;;105
Sociedad de Trabajadores en hierro...............;1904;Idem;Idem;CASTELLÓN;12;;;;12
Sociedad de Obreros metalúrgicos ................;1904;Idem;Idem;CASTELLÓN;25;;;;25
Consejo Federativo local de Sociedades obreras....;1903;Idem;Idem;CASTELLÓN;26;;;;26
La Defensora del Obrero. .... -...................;1904;Socorro mutuo. . .................;Idem;CASTELLÓN;166;;1;86;253
"Sociedad de Albañiles ...... "" ....................";1895;Mejorar las eondiciones del trabajo.;Alcalá de Chisbert;CASTELLÓN;8;;;;8
"La Alcorense (obreros albañiles) .... '"" ........ '""";1901;Idem..........................;Alcora............;CASTELLÓN;18;;;;18
Círculo de Obreros católicos......................;1900;Acción católica...................;Almazara.........;CASTELLÓN;253;;;;253
La Almazorense (obreros albañiles) ...............;1899;Mejorar las condiciones del trabajo.;Idem. ..........;CASTELLÓN;61;;;;61
Pan é Instrucción (obreros agrícolas) .............;1904;Idem. .........................;Idem. . .........;CASTELLÓN;70;;;;70
La Almazorense (peones de albañil). .............;1904;Idem. . ........................;Idem. . .........;CASTELLÓN;40;;;;40
Sociedad cooperativa de Oficiales carpinteros ......;1904;Idem. .........................;Benicarló .. . ......;CASTELLÓN;21;;;;21
Sociedad de Peones jornaleros....................;1904;Idem. .........................;Idem. . .........;CASTELLÓN;615;;;;615
Sociedad cooperativa de Marineros de San Telmo ..;1882;Cooperativa de producción........;Idem;CASTELLÓN;322;;;;322
Sociedad de Socorros Mutuos;1881;Socorro mutuo.;Borriol .;CASTELLÓN;109;;;;109
Circulo de Obreros católicos;1884;Acción católica. . . . . . . . . . . . . . . . . ..;Burriana .;CASTELLÓN;325;;;235;560
Unión de Albañiles burrianenses.. . .. . . . . . . . . . . ..;1899;Mejorar las condiciones del trabajo.;Idem;CASTELLÓN;221;;;;221
La Unión Burrianense. . . . . . . . . . . . . . . . . . . . . . . . ..;1897;"Idem , '"" .";Idem;CASTELLÓN;40;;;;40
La p.rogresiva (obreros panaderos)...............;1904;Idem;Idem;CASTELLÓN;29;;;;29
Sociedad de Socorros mutuos de Marineros;1900;Idem .;Idem;CASTELLÓN;300;;;;300
Seguros mutuos de Jornaleros agrícolas.;1895;"Socorro mutuo "" .";Catí .;CASTELLÓN;225;;;;225
Socorros mutuos de Obreros agrícolas;1898;Idem.;Cervera del. Maestre;CASTELLÓN;66;;;;66
"Cooperativa de Obreros agrícolas """;1904;"Cooperativa de consumo "" . '""";Chilches .;CASTELLÓN;40;;;;40
Hermandad de Obreros católicos de Nuestra Señora  de los Desamparados;1890;Acción católica .;Cuevas de Vinromá;CASTELLÓN;230;;;56;286
Sociedad de Marineros de la playa de Moncófar;1897;Mejorar las condiciones del trabajo.;Moncófar;CASTELLÓN;101;;;;101
La Marinera (obreros marineros);1904;Socorro mutuo.;Idem .;CASTELLÓN;50;;;;50
Círculo Católico de Obreros;1887;"Acción católica "" """;San Jorge .;CASTELLÓN;251;;;21;272
Círculo Católico de Obreros;1904;Idem;Traiguera .;CASTELLÓN;75;;;12;87
Montepio Obrero;1902;"Socorro mutuo "" .";Idem .;CASTELLÓN;233;;;;233
Hermandad de Santa Lucía del barrio rural de San Rafael.;1902;Idem;Idem;CASTELLÓN;40;;2;;42
"Sociedad de Albañiles. '""";1896;Mejorar las condiciones del trabajo;Vall de Uxó .;CASTELLÓN;32;;;;32
La Primitiva;1894;"Socorro mutuo '"" .";Idem .;CASTELLÓN;31;;;;31
El Angel Custodio;1890;Idem .;"Idem '""";CASTELLÓN;68;;;2;70
La Esperanza;1891;Idem;Idem .;CASTELLÓN;38;;;1;39
"El Porvenir '""";1902;Idem .;Idem .;CASTELLÓN;62;;;;62
Patronato de la Juventud obrera;1903;Acción católica .;Villareal;CASTELLÓN;70;;;;70
La Villarrealense(obreros albañiles);1900;Mejorar las condiciones del trabajo;Idem;CASTELLÓN;65;;;;65
La Emancipadora (obreros panaderos);1904;Idem;Idem;CASTELLÓN;37;;;;37
La Lira Víllarrealense;1904;Coral. ,;Idem .;CASTELLÓN;20;;;;20
