NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Gremio de Carpinteros y Ebanistas;1900;Mejorar la condiciones de trabajo;Guadalajara;GUADALAJARA;37;;;;37
Sociedad de Pastores de ganado lanar, vacuno y similares;1902;Idem;Idem;GUADALAJARA;14;;;;14
La Invencible (obreros panaderos);1902;Idem;Idem;GUADALAJARA;48;;2;;50
La Esperanza (obreros del hierro);1902;Idem;Idem;GUADALAJARA;26;;;;26
La Aurora (obreros agricultores);1903;Idem;Idem;GUADALAJARA;160;;;;160
Circulo Instructivo Obrero;1904;Instruccion;CIfuentes;GUADALAJARA;70;;;;70
Circulo Obrero;1904;Idem;Sacedon;GUADALAJARA;41;;;;41
La Buena Union;1896;Socorro mutuo;Hiendelaencina;GUADALAJARA;81;;;11;92
