NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Sociedad de Oficiales pintores decoradores .;1899;Mejorar las condiciones del trabajo.;SAN SEBASTIÁN;GUIPUZCOA;40;;;;40
Sociedad de Obreros panaderos .;1900;Idem .;Idem;GUIPUZCOA;65;;;;65
Sociedad de Obreros hojalateros y similares .;1900;Idem .;Idem;GUIPUZCOA;78;;;;78
"""Sociedad de Camareros .";1901;-Idem .;Idem;GUIPUZCOA;12;;4;;16
Sociedad de Socorros mutuos de Pescadores .;1901;Socorro mutuo .;Idem;GUIPUZCOA;280;;;;280
Caja de Auxilios del personal obrero de la Fábrica de Tabacos;1901;Idem;Idem .;GUIPUZCOA;509;;;2;511
La Esperanza (obreros de la Sociedad J. M. Resola y Compañía)................•............;1903;Idem;Idem .;GUIPUZCOA;120;;;;120
La Unión (banda de música) .;1886;Musical. .;Idem .;GUIPUZCOA;28;;;;28
Orfeón Socialista .;1904;Coral .;Idem .;GUIPUZCOA;40;;;30;70
Sociedad de Oficios varios .;1901;, Mejorar las condiciones del trabajo.;Tolosa .;GUIPUZCOA;80;;;;80
Centro Musical Tolosano .;1901;Musical .;"Idem "" .";GUIPUZCOA;132;;16;196;344
Sociedad de Obreros eatólicos del Purísimo Corazón de Maria;1891;Acción católica .;Azcoitia ;GUIPUZCOA;187;;2;22;211
Sociedad de Obreros cajeros .;1900;Mejorar las condiciones del trabajo.;"Éibar "" .";GUIPUZCOA;76;;;;76
Sociedad de Obreros pulidores .;1900;Idem .;Idem;GUIPUZCOA;54;;;;54
Sociedad de Obreros basculadores .;1900;ldem .;Idem;GUIPUZCOA;127;;;;127
Sociedad de Obreros grahadores .;1900;Idem »o ••••••••••••••••••••;Idem;GUIPUZCOA;24;;;;24
Sociedad de Ohreros arregladores chokeadores .;1900;Idem -l••••••••••••••••••;Idem;GUIPUZCOA;19;;;;19
Sociedad de Obreros canonistas .;1900;Idem;Idem;GUIPUZCOA;24;;;;24
Sociedad de Obreros pistoleros .;1900;Idem;Idem;GUIPUZCOA;390;;;;390
Sociedad de Oficios varios .;1900;Idem;Idem;GUIPUZCOA;44;;;;44
Federación de Sociedades obreras en la industria armera;1901;Mejorar las condiciones del trabajo.;Éibar ............;GUIPUZCOA;367;;;;367
Centro de Sociedades obreras ......................;1902;Idem;Idem;GUIPUZCOA;922;;;;922
Agrupación Socialista ...........................;1897;Política de partido………. : . : ...;Idem;GUIPUZCOA;97;;;;97
Juventud Socialista .............................;1904;Idem;Idem;GUIPUZCOA;134;;;;134
La Protectora. ..................................;1885;Socorro mutuo ..... »o •••••••••••• '1;Irún ........... ..;GUIPUZCOA;84;;;;84
Unión de Artesanos. .... ............;1894;Recreo........................... ';Idem;GUIPUZCOA;24;;;;24
Sociedad. de Oficiales toneleros ....... , ...........;1900;Mejorar las condiciones del trabajo.;Pasages.;GUIPUZCOA;50;;;;50
Banda y Orfeón de Pasages Ancho ...............;1901;Musical;Idem. ...................;GUIPUZCOA;56;;2;1;59
Sociedad de Oficios varios;1904;Mejorar las condiciones elel trabajo.;Renteria.... ......;GUIPUZCOA;31;;;;31
Orfeón Renteriano...............................;1895;Coral. ................. , .........;Idem;GUIPUZCOA;35;;70;;105
Sociedad de socorros mutuos de la fabrica de papel La Salvadora;1901;Socorro mutuo .;Villabona . ........;GUIPUZCOA;73;;;;73
