NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Sociedad protectora de Jovenes Obreros y Comerciantes;1889;Acción católica. .................;ZARAGOZA......;ZARAGOZA;?;?;?;?;?
 Asociación del .Arte de Imprimir y similares;1899;Mejorar las condiciones del trabajo.;Idem;ZARAGOZA;159;;;1;160
I Sociedad de Pintores :;1899;Idem;Idem;ZARAGOZA;60;;;;60
SocIedad de Obreros zapateros;1899;Idem;Idem;ZARAGOZA;208;;;;208
.....................Sociedad de Fundidores en hierro y otros metales.;1900;Idem;Idem;ZARAGOZA;90;;;;90
 Sociedad de Obreros constructores de carros;1900;Idem;Idem;ZARAGOZA;27;;;;27
1! Sociedad de Constructores de máquinas;1900;Idem;Idem;ZARAGOZA;100;;;;100
Sociedad de Sombrereros, Planchadores y Armadores;1900;Idem;Idem;ZARAGOZA;28;;;;28
i Sociedad de Obreros carpinteros y Ebanistas;1900;Idem;Idem;ZARAGOZA;580;;;;580
 Sociedad de Obreros curtidores;1900;Idem;Idem;ZARAGOZA;120;;;;120
I Sociedad de Obreros silleros;1900;Idem;Idem;ZARAGOZA;60;;;;60
El Porvenir (agrupación general de cocineros, camareros y reposteros);1900;Idem;Idem;ZARAGOZA;180;;;4;184
Unión Ultramarina de Dependientes;1900;Idem;Idem;ZARAGOZA;60;12;2;25;99
Asociación general de Dependientes;1900;Idem;Idem;ZARAGOZA;150;;;30;180
Sociedad de Obreros fideeros;1904;Idem;Idem;ZARAGOZA;5;;;;5
Sociedad de Obreros guarnicioneros;1904;Idem;Idem;ZARAGOZA;7;;;;7
Agrupación Socialista;1891;Política de partido................;Idem;ZARAGOZA;40;;;;40
Orfeón Zaragozano;1843;Coral. ...........................;Idem;ZARAGOZA;63;;3;70;136
Sociedad Obrera;1904;Mejorar las condiciones del trabajo.;Pina. ...................;ZARAGOZA;185;;;;185
Sociedad de Obreros del campo;1903;ldem. ..........................;Tarazona.........;ZARAGOZA;206;;;;206
Sociedad de Obreros albañiles y similares;1903;Mejorar las condiciones del trabajo.;Idem;ZARAGOZA;80;;;;80
Sociedad de Obreros zapateros;1903;Idem;Idem;ZARAGOZA;18;;;;18
Sociedad de obreros de fábricas de fósforo;1903;Idem;Idem;ZARAGOZA;30;;;;30
Sociedad de obreros alpargateros;1903;Idem;Idem;ZARAGOZA;16;;;;16
Sociedad de Obreros de pelairia;1903;Idem;Idem;ZARAGOZA;20;;;;20
Federación local de Sociedades Obreras;1903;Idem;Idem;ZARAGOZA;370;;;;370
Caja de Ahorros de los Obreros de la Fábrica de los Sres. Montes;1904;Cooperativa de credito y de consumo con Caja de socorros;Idem;ZARAGOZA;78;;2;;80
Unión Republicana;1904;Política de partido;Castejon de Valdejasa;ZARAGOZA;60;1;1;;62
Sociedad de Obreros;1902;Mejorar las condiciones del trabajo.;Escartón;ZARAGOZA;84;;;;84
Centro de Obreros;1904;Socorro mutuo;Novallas;ZARAGOZA;100;;;;100
Sociedad de Obreros;1902;Mejorar las condiciones del trabajo.;Sástago;ZARAGOZA;343;;;;343
