NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
La Unión (obreros constructores de calzado)……;1898;Mejorar las condiciones del trabajo.;ALICANTE;ALICANTE;35;;;;35
La Constancia (obreros sastres)..................;1900;ldem . ldem;ALICANTE;ALICANTE;180;;;;180
La Defensa;1900;ldem . Idem;ALICANTE;ALICANTE;284;;;;284
La Constructo'ra (obreros albañiles);1900;ldem . Idem;ALICANTE;ALICANTE;243;;;;243
La Lucha (obreros pintores);1901;Idem . ldem;ALICANTE;ALICANTE;76;;;;76
La Protectora (obreros canteros);1902;Idem , ~ ldem;ALICANTE;ALICANTE;85;;;;85
Sociedad de Obreros marítimos;1902;"Idem.•................ , . .; '. ldem";ALICANTE;ALICANTE;399;;2;;401
La Montadora (obreros metalúrgicos y similares).;1903;Idem.· . ldem;ALICANTE;ALICANTE;80;;;;80
Sociedad Tipográfica;1903;ldem..............•............ ldem;ALICANTE;ALICANTE;73;;;;73
Sociedad dé Dependientes de despacho y almacenes;1904;Idem . Idem;ALICANTE;ALICANTE;363;;;;363
La Solidaridad;1904;ldem.· · . ldem;ALICANTE;ALICANTE;76;;;;76
La Fabril (obreros de fábricas);1904;Idem . ldem;ALICANTE;ALICANTE;300;;;;300
Sociedad de Socorros mutuos de la dependencia mercantil;1801;Socorro mutuo;ALICANTE;ALICANTE;167;;;;167
Caja de Auxilio en beneficio del personal obrero de la Fábrica de Tabacos;1901;.ldem. .......................... ldem. .. .. ..........;ALICANTE;ALICANTE;3557;;;;3557
Agrupación Socialista;1897;Política de partido;ALICANTE;ALICANTE;50;;;;50
iuyentud Socialista Obrera ..;1904;Idero. .......................... ldem. .. .......;ALICANTE;ALICANTE;58;;;;58
Orfeón Alicante;1901;Coral.. .........;ALICANTE;ALICANTE;83;5;30;102;220
Orfeón Socialista Obrero;1903;ldem. ... ....................... ldero. . .........;ALICANTE;ALICANTE;53;;;;53
Círculo Católico de Obreros;1893;Acción católica;ALCOY;ALICANTE;1.700;;2;700;2.402
Centro Instructivo de Tejedores y Mecanicos;1899;Mejorar las condiciones del trabajo...;ALCOY;ALICANTE;44;;;;44
'La Artesa. .....................................;1901;Mejorar las condiciones del trabajo.;Alcoy ............;ALICANTE;27;;;;27
". La Constr""Uctora (obreros constructores de zapatos)";1902;Idem. .........................;Idem. ..........;ALICANTE;40;;;;40
:Sociedad de Obreros Albañiles....................;1902;Idem..........................;Idem. ..........;ALICANTE;432;;;;432
:La Metalúrgica (obreros metalúrgicos y similares).;1903;Idem..........................;"Idem........ '""";ALICANTE;244;;;;244
", Sección de Obreros Selfactine-ros (*"") .•...•.•••••••";1904;"Idem. .,. '"" ....................";Idem...........;ALICANTE;40;;;;40
_ Soc~edad de Obreros B~rreros....................;1904;Idem. . . . . . .. .. .. .. .. .. .. .. .. . .. .. .. .. .. .. .. .. .. .;"Idem. ""'l' e.e ......";ALICANTE;90;;;;90
,SocIedad de Obreros Tmtoreros ..................;1904;Idem. .........................;Idem...........;ALICANTE;25;;;;25
:La Piqueta. ..........'................•.........;1904;Idem;Idem...........;ALICANTE;30;;;;30
, Sociedad de Dependientes de peluqueros y barberos;1904;Idem.........................•;Idem...........;ALICANTE;18;;;2;20
"'La Unión........ ... '"" .......•.................";1890;Cooperativa de consumo.........•;Idem. ...............;ALICANTE;384;;;16;400
Obrera Dianense . ...............................;1899;Mejorar las condiciones del trabajo.;DENIA;ALICANTE;26;;;24;50
' Fra~e1·nidad (aserradores mecánicos y afiladores).;1901;Idem..........................;Idem........ : ..;ALICANTE;201;;;4;205
La Unión Edificadora Dianense (albañiles)... '....;1902;Idem..........................;Idem...........;ALICANTE;80;;2;3;85
, La Protectora (barrileros y similares). ...........;1902;Idem..........................;Idem.·..........;ALICANTE;200;;;;200
:Sociedad de Cargadores y Descargadores del muelle;1903;Idem. .........................;Idem...........;ALICANTE;85;;;;85
Gremio de Costureros............................;1899;Idem. .......................;ELCHE. ...........;ALICANTE;357;;;;357
Gremio de Zapateros ............................;1899;Idem. ... , .....................;Idem...........;ALICANTE;146;;;;146
