NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
"Gremio de Braceros del campo ........... "".......";1899;Idem..........................;Idem. ..........;ALICANTE;49;;;;49
Gremio de Tejedores y similares............... , ..;1900;Idem...................•..••.•;Idem. ....... ....;ALICANTE;12;;;;12
Gremio de Hiladores.............................;1901;Idem.•........................;Idem. ..........;ALICANTE;14;;;;14
:La Varia. ........................................;1901;Idem.........'.................;Idem...........;ALICANTE;18;;;;18
El Despertar femenino (oficios varios de mujeres) .;1903;Idem.................•........;Idem'...........;ALICANTE;213;;;;213
La Económica obrera. ....... '....................;1904;Cooperativa de producción (**).•.•;Idem...........;ALICANTE;20;;;;20
,La Emancipación. ....'..........................;1904;Idem ........................ ,'.;Idem...........;ALICANTE;974;;;;974
Casa del Pueblo . ..... ~ ..........................;1904;Cooperativa de consumo ..........;Idem...........;ALICANTE;93;;;;93
~ Circulo Obrero Illicitano .........................;1885;Socorro mutuo .........•.........;Idem. ..........;ALICANTE;2.241;;4;3;2248
Montepio del Circulo Obrero lllicitano..............;1894;Idem .....................•...;Idem. ..........;ALICANTE;1.759;;;;1.759
El Porvenir;1896;Socorro mutuo............... , ....;Elche ....... ,' ....;ALICANTE;600;;;;600
La Compañera del Círculo Obrero;1902;Idem..........................;Idem. ..........;ALICANTE;728;;;;728
Agrupación Socialista;1900;Política de partido......•.........;Idem, ...........;ALICANTE;204;;;;204
Juventud Socialista;1904;Idem. e ••••••••••••••••••••••••;ldem. . .........;ALICANTE;38;;;;38
Orfeón Socialista.............•....................;1904;Coral. ...........................;Idem. ..........;ALICANTE;36;;;12;48
El Socorro (obreros agricultores);1904;Mejorar las condiciones del trabajo.;Jijona.. ~ .........;ALICANTE;195;;;;195
La Regeneración (canteros, marmolistas y similares);1904;Idem. .........................;Monóvar. ... . ...;ALICANTE;35;;;1;36
La .Regeneración (albañiles).·;1904;Idem. .........................;Idem. . ..........;ALICANTE;84;;;;84
¡, La Regeneración (agricultores);1904;Idem. ..........................;Idem. . ..........;ALICANTE;52;;;;52
La Cooperativa ,;1900;Socorro mutuo....................;ldem. ......... ',';ALICANTE;614;;;17;631
La Emancipacion . ..•.........;1904;Mejorar las condiciones del trabajo,;Novelda..........;ALICANTE;512;;;;512
La Fraternidad . ......................•........;1903;Idem. .........................;Villajoyosa.......;ALICANTE;492;1;;;493
Constancia (agricultores);1903;Idem. .........................;Villena.. . ........;ALICANTE;1.128;;;;1.128
Progreso (zapateros). '.~;1903;Idem.................•..........;ldem. ..........;ALICANTE;25;;;;25
Gremio de Albañiles;1903;Idem. .........................;Idem. ..........;ALICANTE;206;;;;206
Sociedad de Ebanistas;1903;Idem. ....... .. ....... .. ......... .;Idem. ..........;ALICANTE;56;;;;56
Juventud Ilustrada (encordadoras de sillas);1904;Idem.................. ~ .......;Idem. lo ..........;ALICANTE;80;;;;80
La Bienhechora. .....••.........................;1904;Idem. .. . .. ... .. .. .. ......... .. . .. . .. .;Albatera.. ........;ALICANTE;148;;;48;196
Gremio de Labradores y Obreros patronato de San José;1904;Acción católica. . . . . . . . . . . . . . . . . ..;Alcalalí. .;ALICANTE;250;;;;250
Sociedad Instructiva Musical;1904;Coral. . . . . . . . . . . . . . . . . . . . . . . . . . ..;Alfafara .;ALICANTE;33;;;;33
Sociedad de Trabajadores Agricultores;1904;Mejorar las condiciones del trabajo.;Aspe........;ALICANTE;257;;;;257
El Porvenir Obrero . ...••.......................;1902;Cooperativa, de consumo y Caja de socorros mutuos;Biar.. .;ALICANTE;282;;;;282
La Fraternidad;1902;Socorro mutuo. . ' . . . . . ..;Cañada .;ALICANTE;10;;;;10
Asociación de Socorro~ mutuos de los Industria;1904;Idem............•.........•...;Callosa de Segura.;ALICANTE;195;;;;195
Unión Católica;1900;Acción católica...............•...;Castalla...........;ALICANTE;113;;3;28;144
Sociedad de Trabajadores agrícolas....... '...... , .;1903;Mejorar las condiciones del trabajo.;Catral ..... -.......;ALICANTE;80;;;;80
Gremio de Hiladores. ...........................;1900;Idem. . ........................;"Crevillente . ..... """;ALICANTE;230;;;;230
Centro Obrero...................................;1892;Socorro mutuo. ... ...... .........;Idem. ......... .....;ALICANTE;1.239;;;43;1282
La Regeneradora ..............................;1903;Mejorar las condiciones del trabajo.;ELDA;ALICANTE;21;;1;;22
El Porvenir. ....................................;1902;Socorro mutuo. . ......................;Guardamar;ALICANTE;58;;;3;61
"La Amistad . .. """;1903;"Idem. .. .............................. "" ........";Hondón de las Nieves;ALICANTE;143;;;;143
La Virtud y el Trabajo;1897;Mejorar las condiciones del trabajo.;IBI;ALICANTE;81;;;;81
Cooperativa obrera de consumo ..................;1902;Cooperativa de consumo ..........;Idem. ...................;ALICANTE;39;;;;39
Unión Obrera...................................;1904;Socorro mutuo....................;Idem. ............;ALICANTE;40;;;;40
La Protectora.....•.. .-........................ !.;1901;Idem. .. ....................... [;Petrel. ............;ALICANTE;282;;3;15;300
La Garantía.. .....................................;1894;Idem. .. .......................................;Salinas ...........;ALICANTE;48;;;1;49
La Unión Agrícola . .....•.......................;1904;Mejorar las condiciones del trabajo.;San Juan..... ....;ALICANTE;160;;;;160
La Unión .....•.................................;1899;Socorro mutuo....................;Santa Pola........;ALICANTE;500;;1;3;504
El Porvenir... ..................................;1904;Mejorar las condiciones del trabajo.;Sax...............;ALICANTE;64;;1;;65
La Prosperidad;1902;Idem..........................;Torrevieja ........;ALICANTE;71;;;4;75
La Dominadora;1904;Idem. )}....................  ..................;Idem.'...........;ALICANTE;240;;;4;244
Sociedad terrestre La;1904;Idem..........................;Idem. ...........;ALICANTE;28;1;1;2;32
"Centro Obrero.............. """;1903;"Idem. ...... ,,""..... ,,' . .........................";Villafranqueza. ..;ALICANTE;82;;4;1;87
Et Porvenir (albañiles) ............... , ...........;1904;"Idem................ '"" .......";,Idem. ..........;ALICANTE;36;;;;36
