NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;Observaciones
Sociedad de Obreros carpinteros..................;1900;Mejorar las condiciones del trabajo.;PAMPLONA. ....;NAVARRA;45;;;;45;
Sociedad de Obreros canteros ....................;1901;Idem. ...... ...... .............;Idem. ...........;NAVARRA;70;;;;70;
Sociedad de Albañiles ............................;1901;Idem. •••••••••••••.•••••••• 'l. 'l.;Idem. 'l ...... 'l ••••;NAVARRA;34;;;;34;
Sociedad de Obreros en hierro y metales..........;1901;Idem. .......................................... 'l.;Idem. .............;NAVARRA;47;;;;47;
Sociedad de Zapateros, Curtidores y Guarnicioneros ........;1901;Idem..........•...............;Idem. ...........;NAVARRA;24;;;;24;
Sociedad Tipográfica ............,' ...............;1901;Idem. ... ....... ...............;Idem. ...........;NAVARRA;36;;;;36;
Sociedad de Obreros constructores de carruajes y similares....;1901;"Idem. ... '"" ...................";Idem. ..........;NAVARRA;34;;;;34;
Sociedad de Ebanistas y Tapiceros ...............;1901;Idem. ..... ..... ....... .........;Idem. ..........;NAVARRA;12;;;;12;
Sociedad de Toneleros ...........................;1901;"Idem. ., .......... '"" ..........";Idem...........;NAVARRA;16;;;;16;
"Sociedad de Obreros barrenadores.. "" ............";1902;Idem. lO' lO .........................;Idem. ...........;NAVARRA;10;;;;10;
Sociedad de Obreros peones......................;1902;"Idem. .. ' ..... '"" ................";Idem. . .........;NAVARRA;51;;;;51;
Agrupación Socialista ................. '.' ......•;1902;Política de partido ...............;Idem. ...............;NAVARRA;60;;;;60;
Agrupación Obrera Republicana .................;1904;Idem. ............................;Idem. . .........;NAVARRA;150;;;;150;
Centro Escolar dominical de Obreros..............;1881;Instrucción ...................' ...;Idem. ..........;NAVARRA;900;;;;900;Tiene organizada una Caja de Ahorros
La Conciliación . ................................;1902;"Idem. .."" .... ; ..................";Idem. . .........;NAVARRA;1.600;;5;436;2041;
Orfeón Pamplonés...............................;1890;Coral ............................;Idem. ..........;NAVARRA;115;;20;196;331;
"Gremio de Curtidores ... ; .... '"" .................";1903;Mejorar las condiciones del trabajo.;Estella ...........;NAVARRA;31;;;;31;
Sociedad de Obreros.............................;1904;Socorro mutuo....................;Andosilla. ........;NAVARRA;114;;;1;115;
"Santa Cecilia.. .. ; ...............................";1901;Coral. ...........................;"Cascante .. .. '"" ...";NAVARRA;5;2;2;1;10;
Centro Católico de Obreros.......................;1901;Acción católica...................;Huarte . ..........;NAVARRA;90;;;5;95;Tiene organizada una Caja de Ahorros
