NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;Observaciones
Sociedad de Obreros de la industria textil.. . . . . . . .;1901;Idem;Idem;VALLADOLID;34;;;;34;
"La Emancipación (Sociedad de obreros agricultores) "" ,";1902;Idem;Idem;VALLADOLID;168;;;;168;
La Verdad.. , .;1904;Idem;Medina de Rioseco;VALLADOLID;41;;;;41;
Sociedad Obrera .;1901;Idem;Nava del Rey .;VALLADOLID;306;;;;306;
Asociación de Agricultores .;1902;Idem;Castrejón .;VALLADOLID;45;;;;45;
Círculo Católico de Obreros , .;1895;Acción católica. . . . . . . . . . . . . . . . . ..;Esguevillas de Esgueva .;VALLADOLID;79;;;1;80;
Asociación Obrera Agrícola .;1901;Mejorar las condiciones del trabajo.;La Seca .;VALLADOLID;130;;;;130;
Círculo Católico de Patronos y Obreros .;1904;Acción católica. . . . . . . . . . . . . . . . . ..;La Unión .;VALLADOLID;64;;;56;120;
Sociedad de Obreros agricolas :. '.' .;1900;Mejorar las condiciones del trabajo.;Idem;VALLADOLID;37;;13;20;70;
SocIedad de Obreros agricolas y similares;1902;Idem;Matapozuelos .;VALLADOLID;90;;;;90;
Círculo Católico de Obreros de Santo Toribio Alfonso Mogrovejo·. . .;1904;Acción católica. . . . . . . . . . . . . . . . . ..;Mayorga .;VALLADOLID;259;;;109;368;
Sociedad de Obreros agricultores y similares .;1904;Mejorar las condiciones del trabajo.;Idem;VALLADOLID;144;;;;144;
"Sociedad Obrera ; .";1904;Idem;Melgar de Arriba.;VALLADOLID;20;;;;20;
Sociedad Obrera .;?;Idem;Peñaflor .;VALLADOLID;74;;;;74;
Asociación Obrero-agricola .;1902;Idem;Pozaldez .;VALLADOLID;40;;;;40;
Asociación Obrera Agrícola y Económica .;1904;Idem;Roales .;VALLADOLID;45;;;;45;
La Virtud (obreros agricultores). '••••••••••••;1902;Idem;Rodilana .;VALLADOLID;32;;;;32;
Sociedad Obrera Agrícola .;1901;Idem;Rueda .;VALLADOLID;200;;;;200;
Sociedad de Obreros constructores de calzado y Oficios varios .;1902;Idem;Idem;VALLADOLID;20;;;;20;
Sociedad caritativa de Socorros para obreros enfermos;1873;Socorro mutuo;Rueda;VALLADOLID;166;;;;166;
Sociedad obreros agricolas y similares;1904;Mejorar las condiciones del trabajo.;San Martin de Valveni;VALLADOLID;13;;;;13;
Sociedad obrera agricola y Economica;1904;Idem;San Miguel;VALLADOLID;100;;;;100;
Asociacion Obrera;1903;Idem;Santervas de Campos;VALLADOLID;70;;8;14;92;
SocIedad de Obreros agricolas y similares;1903;Idem;Serrada;VALLADOLID;41;;;;41;
Sociedad de Obreros;1901;Idem;Tordehumos;VALLADOLID;50;;;;50;
Asociacion Obrera;1904;Idem;Valdunquillo;VALLADOLID;48;;;;48;
Asociacion Catolica de Obreros;1904;Acción católica ‘.';Villabañez;VALLADOLID;164;;;;164;
Asociacion de Trabajadores;1901;Mejorar las condiciones del trabajo.;Villabragima;VALLADOLID;60;12;1;;73;
Sociedad de Obreros Agricultores y similares;1904;Idem;Villalba de Alcor;VALLADOLID;54;;;;54;
La Union Social;1904;Idem;Villanubla;VALLADOLID;72;;;;72;
La Caritativa;1904;Socorro mutuo;Zaraton;VALLADOLID;104;;36;;140;
