NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;Observaciones
Asociacion Católica de Escuelas y Círculos de Obreros	, . .. . . . . . . . . . . ..• . ..;1869;Acción católica '.';Valladolid;VALLADOLID;1.017;;;169;1186;"Tienen organizadas escuelas diurnas y nocturnas; cuenta con una caja de socorro y un servicio de asistencia medica para enfermedades"
Sociedad protectora de Cocheros;1890;Mejorar las condiciones del trabajo.;Idem;VALLADOLID;60;;22;;82;
Asociación del Arte de imprimir y Oficios similares ;1897;Idem;Idem;VALLADOLID;204;;;;204;
La Progresiva (sociedad de albañiles);1897;Idem;Idem;VALLADOLID;325;;;;325;
Sociedad de Canteros y Marmolistas..;1897;Idem;Idem;VALLADOLID;36;;;;36;
Sociedad de Obreros panaderos... . .. . . . . . . .. . . . ..;1897;Idem;Idem;VALLADOLID;100;;;;100;
La Unión (Sociedad de	obreros en madera).......;1900;Idem;Idem;VALLADOLID;294;;;;294;
Sociedad de Obreros en hierro	'. . . . . . ..;1900;Idem;Idem;VALLADOLID;60;;;;60;
Sociedad de Obreros alfareros. . . . . . . . . . . . . . . . . . . .;1901;Idem;Idem;VALLADOLID;20;;;;20;
Asociación de Obreros sastres.. .. . . . . . . . . . . . .. . . .;1901;Idem;Idem;VALLADOLID;55;;;;55;
Sociedad de Obreros agricultores y similares.. . .. .;1902;Idem;Idem;VALLADOLID;116;;;;116;
Sociedad de Obreros constructores de carrua,jes. . .;1902;Idem;Idem;VALLADOLID;24;;;;24;
La Piqueta (Sociedad de obreros albañiles).......;1902;Idem;Idem;VALLADOLID;85;;;;85;
La Ceramica.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .;1896;Socorro mutuo;Idem;VALLADOLID;116;;;;116;
"Asociación de Dependientes de Comercio ... ""	. . . .";1896;ldem;Idem;VALLADOLID;248;;;32;280;
Sociedad de Socorros mutuos de los Almacenes Generales;1897;ldem;Idem;VALLADOLID;102;;;;102;
La Aurora (Sociedad de socorros mutuos entre camareros, cocineros y similares);1898;ldem;Idem;VALLADOLID;82;;;21;103;
La Caridad...............................;1902;ldem;Idem;VALLADOLID;142;11;11;;164;
Sociedad de Socorros mutuos entre Confiteros, Pasteleros y Chocolateros. . . .;1902;ldem;Idem;VALLADOLID;47;;;20;67;
Orfeón, Pinciano '.' . . . . . . . . . . . . . . . . . . . . . .;1892;Coral. ~ .;VAIJLADOIJID .;VALLADOLID;86;;1;30;117;
"El Pueblo Obrero '"" ., "" '"" "" ..";1903;"Instrucción '""";Idem;VALLADOLID;111;;4;;115;
La Unión (Sociedadg-eneral de obreros en madera);1901;Mejorar las condiciones del trabajo.;Medina del Campo.;VALLADOLID;28;;;;28;
La Unión (Sociedad de obreros albañHes).. . . . . . ..;1901;Idem;Idem;VALLADOLID;28;;;;28;
