NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
La Nocturna (panaderos).;1898;Mejorar las condiciones del trabajo.;OVIEDO. .. ..........;OVIEDO;25;;;;25
La Emancipacion (obreros en madera) ………..;1899;Idem. ..... ....... ...... .......;ldem. ..........;OVIEDO;409;;;;409
La Reforma (obreros en piedra).....;1899;Idem;Idem...........;OVIEDO;405;;;;405
Asociación de Empleados de Industria y Comercio.;1900;Idem;Idem. ...........;OVIEDO;95;;1;;96
El Progreso (obreros en hierro y demás metales) ..;1900;Idem;Idem. }).......... oO •;OVIEDO;177;;;;177
"El Porvenir (albañiles)........... '"" ………….";1900;Idem;Idem. .. ..................;OVIEDO;400;;;;400
El primero de Mayo (pintores) ..............-........ , .;1900;Idem;Idem. ..................;OVIEDO;30;;;;30
El Bienestar (sastres y sastras)………………;1901;Idem;Idem. ..................;OVIEDO;30;;;;30
La Perla . .................................;1904;Cooperativa de consumo ..........;Idem;OVIEDO;10;;;;10
San Mateo;1886;Socorro mutuo....................;Idem. •• oO .........;OVIEDO;241;;2;6;249
La Vanguardia (canteros) ................'.......;1899;Mejorar las condiciones del trabajo;Avilés;OVIEDO;60;;;;60
La Luz (albañiles y pintores) ....................;1900;Idem.........................•;Idem. oO ..... })oO ••••;OVIEDO;55;;;;55
La unión es fuerza (carpinteros) ……………..;1900;Idem. • oO ......... oO ...... oO •••••••••;Idem. ........ oO ......;OVIEDO;142;;;;142
La Firmeza (obreros en hierro y demás metales) .•;1900;Idem. .... oO. oO ......................;Idem. ..................;OVIEDO;24;;;;24
La Legalización (aserradores mecánicos) .........;1901;Idem. ....... .......... ....... ....;Idem. ................;OVIEDO;20;;;;20
Centro de Sociedades obreras ....................;1900;Idem..........................;ldem. oO .............;OVIEDO;102;;;;102
Sociedad Obrero-industrial. ............ : .........;1883;Instrucción y recreo..............;ldem. ..........;OVIEDO;250;;;;250
La Cantábrica (trabajadores del muelle) ..........;1892;Mejorar las condiciones del trabajo.;Gijón.............;OVIEDO;360;;;;360
La Precisa (panaderos).......... , ...............;1899;"ldem. "" •••••• ....... oO ..........";Idem;OVIEDO;72;;;;72
'La Organizadora.. ..............................;1899;Idem. e ..............................;Idem. ....... oO .......;OVIEDO;85;;;;85
La Minera (tipógrafos y similares)..............;1902;Idem. ................................................ ..;Idem. ...............;OVIEDO;43;;;;43
Asociación general de Dependientes del Comercio y de la Industria;1904;Idem. ............................................ ..;Idem. 'Y••••• oO .......;OVIEDO;25;;;;25
Agrupación Socialista Gijonesa;1892;Política de partido;, Guijon;OVIEDO;60;;;;60
Ateneo Casino Obrero ,;1881;Instrucción y recreo;1 Idem;OVIEDO;699;;;;699
Círculo Católico Obrero.. . . . . . . .. . . . . .. . . . . . . .;?;Acción católica.. . . . . . . . . . . . . . . . ..;Llanes;OVIEDO;170;30;5;100;305
El Porvenir. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .;1897;Socorro mutuo. . . . . . . . . . . . . . . . . . .;Idem;OVIEDO;230;;;50;280
Círculo Obrero Católico... . . . . . .. . . . . . . . . . . . . . . . .;1895;"Acción católica.. """;Siero;OVIEDO;200;;;69;269
La Luz y Guía de Labradores...;1903;Mejorarlas condiciones del trabajo.;Grado(Villanueva);OVIEDO;228;;;;228
Caja de Socorros de los Obreros y Empleados de la Sociedad Carbones de la Nueva;1903;Socorro mutuo ~;Langreo;OVIEDO;300;;;;300
La Justicia (obreros en hierro y demás metales) ...;1900;Mejorar las condidones del trabajo.;Idem;OVIEDO;500;;;;500
La Esperanza. .;1897;Cooperativa de consumo;Idem;OVIEDO;454;;;;454
Hijos del Trabajo ~;1890;Socorro mutuo;Idem;OVIEDO;1423;;;1;1424
Ateneo Obrero;1894;Instrucción y recreo;Gozón (;OVIEDO;90;;6;;96
Cooperativa de consumo de los Obreros de la Fabrica......................................•..;1876;Cooperativa de consumo;Mieres;OVIEDO;850;;;;850
La Obrera;1896;Idem.;Idem;OVIEDO;31;;;;31
La Unión Social;1897;Política socialista. . . . . . . . . . . . . . . .;Idem;OVIEDO;854;;;;854
La Armoniosa;1900;Mejorar las condiciones del trabajo.;Muros;OVIEDO;30;;3;;33
La Previsión;1902;Socorro mutuo;Noreña;OVIEDO;96;;;5;101
El Ahorro;1903;Cooperativa de consumo. . . . . . . . ..;Castrillón (Salinas);OVIEDO;44;;3;;47
Asociación Obrera;1899;Socorro mutuo.. . . . . . . . . . . . . . . . . . .;Idem;OVIEDO;50;;;;50
Círculo Católico Obrero;1903;Acción católica;San Martin del Rey Aurelio (San Andres de Linares);OVIEDO;207;;10;19;236
El Mejoramiento;1900;Mejorar las condiciones del trabajo.;Soto del Barco ... ..;OVIEDO;10;;;;10
Obreros Amigos;1903;Socorro mutuo;Vega de Rivadeo;OVIEDO;100;;;;100
