NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Círculo Católico de Obreros ......................;1901;Acción católica..................;Orense;ORENSE;400;1;;390;791
Centro de Sociedades obreras. . . . . . . . . . . . . . . . . . .;?;Mejorar las condiciones del trabajo.;Idem;ORENSE;?;?;?;?;?
 Tertulia de Artesanos.. ~ ............ '.' ..........;1903;Instruccion y recreo;Allariz;ORENSE;55;;;;55
"SocIedad de Obreros agricolas.................. """;1903;Mejorar las condiciones del trabajo.;Rubiana;ORENSE;450;;;;450
