NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;Observaciones
Sociedad de obreros marmolistas picapedreros;1882;Mejorar las condiciones del trabajo.;GRANADA;GRANADA;94;;;;94;
La Fraternidad (obreros sombrereros fulistas);1888;ldem. ............................;Idem;GRANADA;140;;;;140;
La Union;1900;ldem. o .......... 00 ..................;Idem;GRANADA;25;;;;25;
La Obra.......................................;1900;Idem. ........ ................ .;Idem;GRANADA;390;;;60;450;
La Emancipacion (obreros albaniles);1900;ldem. ••••••••••••••••;Idem;GRANADA;100;;;;100;
Gremio de Obreros panaderos ....................;1902;ldem. . . . . . . .. .. ~ . . . . . . . .. . . . ..;Idem;GRANADA;150;;;;150;
La Igualdad;1903;Idem. ' ••••••••••••••;Idem;GRANADA;60;;;;60;
Gremio de Silleros-guarnicioneros................;1903;"ldem. ..... . - • • • ,"" ~ o";Idem;GRANADA;20;;;;20;
Sociedad de Socorros mutuos de vendedores de berzas y frutas;1890;Socorro mutuo;Idem;GRANADA;23;;1;;24;
Sociedad de Socorros mutuos de Empleados de tranvías.;1904;Idem;Idem;GRANADA;27;;3;;30;
La Paz;1903;Mejorar las condiciones del trabajo.;Alhama...........;GRANADA;54;31;;3;88;
La Moralidad;1900;Cooperativa de producción y de crédito;Idem;GRANADA;15;12;1;1;29;
Los Obreros Bastetanos;1899;Mejorar las condiciones del trabajo.;Baza;GRANADA;49;;;;49;
El Provenir (obreros agricultores);1903;Idem;Idem;GRANADA;39;;;;39;
Sociedad Obrera Lojena;1901;Idem;Loja;GRANADA;203;;4;30;237;
La Obra;1902;Idem;Alfacar;GRANADA;119;;8;;127;
La Constancia;1900;Idem;Algarinejo;GRANADA;45;;;;45;
La Obra;1902;Idem;Atarfe;GRANADA;29;;;;29;
La Obra;1902;Mejorar las condiciones del trabajo.;Campotéjar .. .....;GRANADA;60;;;;60;
La Obra;1903;Idem;Cúllar de Baza.. ..;GRANADA;28;;;;28;
La Obra;1902;Idem .;Chimeneas . .......;GRANADA;20;;9;;29;
La Hurnanitaria;1904;Socorro mutuo , .;Churriana .. ......;GRANADA;30;;;;30;
El Porvenir del Obrero;1903;Mejorar las condiciones del trabajo.;Jun . .............;GRANADA;14;;4;6;24;
Sociedad;1902;Idem .;Pinos-Puente . ....;GRANADA;27;16;4;;47;
La Constancia.;1903;Idem;Pinos-Puente (Asquerosa);GRANADA;25;;;1;26;
Redención;1904;Socorro mutuo , .;Puebla de Don Fadrique;GRANADA;435;;;10;445;
