NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Sociedad Obrera de Cerámica ....................;1903;Mejorar las condiciones del trabajo.;SEGOVIA....... ,;SEGOVIA;83;;;;83
Sociedad de Socorros mutuos.....................;1903;Socorro mutuo....................;Nava de la Asunción ............;SEGOVIA;101;;1;;102
El Pensamiento.. ...............................;1903;Mejorar las condiciones del trabajo.;Villacastín. .......;SEGOVIA;30;;;;30
