NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
El Trabajo (obreros albaniles);1900;Mejorar las condiciones del trabajo.;HUELVA.........;HUELVA;35;;;;35
Gremio de Zapateros asociados;1900;Idem...........................;Idem. ............;HUELVA;30;;;;30
La Familiar (cortadores de carne de vaca)........;1902;Idem...........................;ldem. ...........;HUELVA;14;;;;14
Sociedad de Socorros Mutuos de Obreros del Rio Tinto .........................................;1877;Socorro mutuo....................;ldem. ............;HUELVA;53;;;1;54
La Humanitaria.;1899;Idem...........................;ldem. ..............;HUELVA;41;;1;;42
Sociedad de Socorros mutuos ..;1901;ldem...........................;Idem. ..........;HUELVA;37;1;;;38
La Favorita .. ...................................;1903;Idem.......................... ,;ldem. ............;HUELVA;90;;;;90
La Socorrida.. ..................................;1904;"Idem................. '"" .......";Idem. ..........;HUELVA;24;;1;;25
Orfeón Onubense................................;1904;Coral ............................;Idem. .............;HUELVA;35;;1;15;51
Centro de Obreros ...............................;1894;Instrucción y recreo..............;Aracena..........;HUELVA;156;;;;156
Unión de Trabajadores.;1903;Idem...........................;Alájar............;HUELVA;30;;1;3;34
El Siglo XX......·..............................;1903;Socorro mutuo....................;Almonaster la Real;HUELVA;53;;;;53
Sociedad de Socorros mutuos.....................;1901;Idem.............. ,. .... : .._.....;Calañas...........;HUELVA;64;;;;64
El Alba .........................................-;1902;Idem...........................;"Idem. .. '"" .....";HUELVA;578;;;;578
La Obrera . .....................................;1904;Idem..•........................;Idem. ...........;HUELVA;63;;4;;67
Centro de Unión Republicana.;1904;Política de partido................;Idem. ..........;HUELVA;384;;1;;385
La Buena Amistad..;1904;Instrucción y recreo..............;Idem. e ..........;HUELVA;164;;5;;169
Sociedad de Obreros .............................;1903;Idem...........................;Campofrío........;HUELVA;49;;1;;50
El Trabajo;1902;Mejorar las condiciones del trabajo'.;Cortegana ........;HUELVA;504;;;;504
Sociedad Cooperativa;1901;Socorro mutuo ...................;Chucena .•.........;HUELVA;163;;;;163
Centro Obrero Republicano.......................;1904;Política de partido................;El Cerro ... .... ~ ..;HUELVA;200;;;;200
"Sociedad de Instrucción obrera............. """;1904;Instrucción ......................;Galaroza......... ~;HUELVA;60;;;;60
La Union Social .. . _.............................;1903;"Instrucción. .......... ""'";Jabugo;HUELVA;130;;;;130
Los Emancipados. ................................;1896;Cooperativa de consumo ..........;Minas de Río Tinto;HUELVA;296;;;;296
La Benéfica.....................................;1891;Socorro mutuo....................;Idem. ...........;HUELVA;1.077;;4;3;1084
Unión de Dependientes de Comercio..............;1903;Mejorar las condiciones del trabajo.;Nerva;HUELVA;20;;2;;22
La Peña.. ................................ .....;1904;Cooporativa de consumo ..........;Idem. ....................;HUELVA;140;;;1;141
Círculo de la Unión de Mineros .......................;1900;Instrucción y recreo..............;Idem. ..;HUELVA;980;20;9;1;1010
La Minera.... ..................................;1903;Socorro mutuo....................;Idem;HUELVA;180;;1;9;190
La Libertad . .............•.....................;1904;Cooperativa de consumo ..........;San Bartolomé de la Torre .........;HUELVA;105;;;;105
La Fraternidad....................... .........;1904;Idem...........................;Idem;HUELVA;120;;;;120
El Amparo......................................;1897;"Cooperativa de crédito... ; ........";Villalba del Alcor;HUELVA;28;;;;28
