NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Asociación protectora de Artesanos jóvenes;1866;Acción católica;Madrid;MADRID;62;;31;8;101
Circulo Católico de Obreros de San Pedro Apóstol.;1895;Idem;Idem;MADRID;2.017;;;;2.017
Circulo Católico de Obreros del Sagrado Corazon de Jesús .....•.;1895;Idem;Idem;MADRID;1.837;;;200;2037
Asociación general del Arte de Imprimir;1871;Mejorar las condiciones del trabajo.;Idem;MADRID;956;;;;956
El Porvenir(obreros en hierro y demás metales) ..;1881;Idem;Idem;MADRID;180;;;;180
El Trabajo (obreros albañiles);1888;Idem;Idem;MADRID;6.574;;;;6.574
Sociedad de Oficiales zapateros, Cortadores y Guarnicioneros. .;1890;Idem;Idem;MADRID;104;;;;104
Sociedad de Canteros y similares;1890;Idem;Idem;MADRID;820;;;;820
Sociedad de Obreros constructores de carruajes;1890;Idem;Idem;MADRID;274;;;;274
Unión Obrera del Gremio de Albañiles;1890;Idem;Idem;MADRID;225;;2;;227
Sociedad de Obreros marmolistas;1890;Idem;Idem;MADRID;402;;;;402
La Solidaridad (obreros estuquistas);1891;Idem;Idem;MADRID;94;;;;94
Sociedad de Obreros panaderos de la provincia;1892;Idem;Idem;MADRID;1.479;;;;1.479
La Verdad Social (obreros carpinteros de armar);1893;Idem;Idem;MADRID;397;;;;397
Sociedad de Profesiones y Oficios yarios;1893;Idem;Idem;MADRID;363;;;;363
La Puntual (obreros fontaneros y vidrieros);1893;Idem;Idem;MADRID;150;;;;150
Agrupación general de Camareros, Cocineros y Reposteros.. .;1896;Idem;Idem;MADRID;927;;;;927
La Unión de Cocheros;1897;Idem;Idem;MADRID;2.636;;;;2.636
Sociedad de Carpinteros de taller;1897;Idem;Idem;MADRID;761;;;;761
La Emancipación (obreros ·embaldosadores);1897;Idem;Idem;MADRID;130;;;;130
La Piqueta (obreros poceros);1897;Idem;Idem;MADRID;201;;;;201
Union Ultramarina Madrilena (Sociedad de dependientes de los gremios ultramarinos y similares);1898;Idem;Idem;MADRID;250;;;20;270
La Rueda (obreros constructores de carros);1899;Idem;Idem;MADRID;50;;;;50
El Compás (obreros aserradores á brazo);1899;Idem;Idem;MADRID;25;;;;25
Sociedad de Operarios fumistas;1899;Idem;Idem;MADRID;180;;;;180
