NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Matrícula Unida (trabajadores del puerto): .......;1897;Mejorar las condiciones del trabajo.;ALMERÍA;ALMERÍA;847;;1;;848
El Progreso (barrileros);1898;Idem;ALMERÍA;ALMERÍA;270;;1;;271
La Igualativa (panaderos);1899;Idem;ALMERÍA;ALMERÍA;109;;;;109
Arte de Imprimir .. .•.'.......•......•...........;1901;Idem;ALMERÍA;ALMERÍA;41;;;;41
Luz del Progreso (gasistas y electricistas);1901;Idem;ALMERÍA;ALMERÍA;71;;;;71
La Velocidad (conductores de carros);1903;Idem;ALMERÍA;ALMERÍA;135;;;;135
La Solidaridad (carpinteros)........... , .. , ......;1904;Idem;ALMERÍA;ALMERÍA;100;;;;100
Sociedad obrera de hierros y metales;1904;Idem;ALMERÍA;ALMERÍA;81;;;;81
Sociedad de Dependientes del· comercio de coloniales;1904;Idem;ALMERÍA;ALMERÍA;40;;;;40
La Aurora (trabajadores del campo)..............;1904;Idem;ALMERÍA;ALMERÍA;350;;;;350
"Federación local de Sociedades obreras .....•. , • """;1899;Idem;ALMERÍA;ALMERÍA;?;?;?;?;?
El Despertar del Obrero (mineros).•……….•.•.;1903;Idem;Gérgal. ..........;ALMERÍA;235;;;;235
Centro Agrícola..•... ',' .•..•..... , ' ....•.•......;1901;Idem;"Adra.. "" .......•.";ALMERÍA;650;20;2;;672
