NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Sociedad de Oficiales toneleros;1900;Mejorar la condiciones de trabajo;Logroño;LOGROÑO;80;;;;80
Asociación de Obreros agricultores :;1903;Idem;Idem;LOGROÑO;250;;;;250
Sociedad de Albañiles y Peones;1903;Idem;Idem;LOGROÑO;70;;;;70
Sociedad de Peluqueros barberos;1903;Idem;Idem;LOGROÑO;18;;;;18
Sociedad de Obreros canter.os;1903;Idem;Idem;LOGROÑO;20;;;;20
Sociedad de Obreros alpargateros;1903;Idem;Idem;LOGROÑO;24;;;;24
Sociedad de Obreros en hierro y demás metales;1903;Idem;Idem;LOGROÑO;77;;;;77
Asociación de Obreros en madera;1903;Idem;Idem;LOGROÑO;204;;;;204
La Defensa (moldeadores);1904;Idem;Idem;LOGROÑO;28;;;;28
Sociedad de Hojalateros;1904;Idem;Idem;LOGROÑO;23;;;;23
Sociedad de Obreros zapateros y similares;1904;Idem;Idem;LOGROÑO;16;;;;16
Caja de Auxilios del personal obrero de la Fábrica de Tabacos ';1901;Socorro mutuo. .;Idem;LOGROÑO;603;;;;603
Círculo Católico de Obreros;1903;Acción ca.tólica.. ~;"; . Calahorra ........";LOGROÑO;500;;100;25;625
Unión Obrera , ,;1904;Mejorar las condiciones elel trabajo.;Idem;LOGROÑO;149;;;;149
Sociedad Obrera Alpargatera;1902;"Socorro mutuo """;. Cervera de Río Alhama;LOGROÑO;436;;12;9;457
Asociación Obrera Agrícola :;1904;Idem;Idem;LOGROÑO;32;;;;32
Unión Obrera Harense ,;1892;Idem;. Haro .............;LOGROÑO;286;1;3;15;305
La Unión ·Artesana , , , .•... ,;1866;Recrea.tiva :;. ldem. ...........;LOGROÑO;270;2;;;272
Sociedad Obrera Agrícola;1903;Mejorar las condiciones del trabajo.;Anguciana;LOGROÑO;60;;;;60
Sociedad Obrera Agrícola;1902;Idem;Casaleria;LOGROÑO;90;;;;90
Sociedael Benéfica entre trabajadores;?;Socorro mutuo;El Villar de Arnedo;LOGROÑO;55;;;9;64
La Esperanza;1903;Idem;Ezcaray;LOGROÑO;47;;;23;70
Sociedad Obrera Agricola;1903;Mejorar la condiciones de trabajo;San Asensio;LOGROÑO;60;;;;60
Sociedad Obrera Agrícola;1902;Idem;San Vicente de la Sonsierra;LOGROÑO;45;;;;45
Sociedad Obrera Agrícola;1902;Idem;Zarraton;LOGROÑO;46;;;;46
