NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Unión y Trabajo;1900;Mejorar las condiciones del trabajo.;Lugo;LUGO;16;;;;16
La Unión (carpinteros);1900;Idem..........•................;Idem;LUGO;150;;;;150
Sociedad de Canteros............................;1900;Idem......................... ,;Idem;LUGO;200;;;;200
Sociedad instructiva de Dependientes de comercio.;1901;Idem. ...........................;Idem;LUGO;42;;;;42
La Esperanza (ebanistas).;1902;Idem. .. ............................;Idem;LUGO;45;;;;45
Sociedad de Albañiles ...........................;1902;Idem. ................................;Idem;LUGO;60;;;;60
Sociedad de Constructores de calzado.;1902;Idem...•......................;Idem;LUGO;60;;;;60
Sociedad de Oficios y profesiones varias;1902;Idem. ..........................;Idem;LUGO;22;;;;22
Sociedad de Obreros curtidores.;1903;Idem. ........... o ••••••••••••••••;Idem;LUGO;11;;;;11
Centro de Sociedades Obreras.................. '..;1902;Idem. ..........................;Idem;LUGO;1000;;;;1000
Sociedad de Trabajadores.;1897;Socorro mutuo ...................;Monforte;LUGO;148;;2;50;200
La Prosperidad... ..............................;1903;Mejorar las condiciones del trabajo.;Rivadeo;LUGO;73;;;;73
Obreros de Vivero ..............................;1888;Socorro mutuo. ..................................;Vivero;LUGO;95;2;1;12;112
"Agrupación Socialista..................... "".....";1904;"Política de partido.............. """;Idem.... ,.......;LUGO;14;;;;14
