NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Sociedad de Obreros albañiles Jienenses .;1900;Mejorar las condiciones del trabajo.;JAÉN;JAÉN;400;;;;400
Sociedad de Canteros y Marmolistas .;1900;Idem;Idem;JAÉN;31;;4;;35
Sociedad de Obreros panaderos Jienenses .;1900;Idem;Idem;JAÉN;70;;;;70
Sociedad de Carpinteros y Ebanistas .;1900;Idem;Idem;JAÉN;100;;;;100
"Sociedad Obrera de Constructores de carruajes, Herreros, Carreteros y Cerrajeros "" . .";1901;Idem;Idem;JAÉN;46;;5;;51
La Necesaria (obreros agricultores)... . . . . . .. . . . ..;1901;Idem;Idem;JAÉN;356;;;;356
Federación de Sociedades obreras. . . . . . . . . . . . . . ..;1901;Idem;Idem;JAÉN;950;;;;950
Sociedad de Obreros de las Riveras...... . ... .....;1903;Socorro mutuo ;Alcalá la Real.;JAÉN;72;;;;72
Sociedad de Obreros. . . . . . . . . . . . . . . . . . . ... . . . . . . ..;1904;Mejorar las condiciones del trabajo.;ldem;JAÉN;140;;;;140
Asociación general de Obreros... . . . . . . . . . . . . . . . ..;1902;ldem;Andújar;JAÉN;300;;;;300
La Reformada...........;1891;Socorro mutuo;. ·Idem;JAÉN;68;;;;68
Sociedad de Obreros panaderos.. ..;1904;Mejorar las condiciones del trabajo.;La Carolina;JAÉN;23;;;;23
El Freno (maquinistas, fogoneros y poceros). . . . ..;1890;Idem;Linares;JAÉN;95;;;;95
Sociedad de Obreros panaderos.....•............ ,;1894;Idem;Idem;JAÉN;50;;;;50
El Porvenir (fundidores y desplatadores de plomo).;1900;Idem;Idem;JAÉN;200;;;;200
La Reforma (albañiles);1901;Idem;Idem;JAÉN;250;;;;250
La Barrena (mineros). .;1904;Idem;Idem;JAÉN;30;;;;30
Federación de Sociedades obreras de .resistencia;1900;Idem;Idem;JAÉN;?;?;?;?;?
El Fiscal /: . . . . . . . . . .;1904;Velar por el cumplimiento de la legislación protectora del trabajo.;Idem;JAÉN;19;;;;19
Círculo Socialista Obrero .;1887;Política de partido ;Idem;JAÉN;50;;;;50
La Primitiva .;1903;Mejorar las condiciones del trabajo.;Mancha Real;JAÉN;300;;;;300
El Triunfo;1903;Mejorar las condiciones del trabajo.;Martos ...........;JAÉN;1.210;;;;1.210
El Progreso....... ..............................;1901;Idem...........................;Arjona............;JAÉN;130;;;;130
La Unión Obrera. ...............................;1902;Socorro mutuo....................;Banos de la Encina;JAÉN;215;;;;215
La Esperanza...................................;1903;Idem...........................;Beas de Segura . ..;JAÉN;88;;;;88
Centro Obrero..;1904;Idem...........................;Chiclana..........;JAÉN;133;;1;18;152
Sociedad de Obreros Agricolas;1903;Mejorar las condiciones del trabajo.;Fuerte del Rey. ...;JAÉN;98;;;;98
Centro de Trabajadores ..;1890;Idem............................;Guarromán.......;JAÉN;265;;;;265
Círculo de Artesanos ...;1897;Instrucción.......................;Ibros. ....................;JAÉN;73;;;;73
La Popular.'....................................;1904;Socorro mutuo....................;Javalquinto .. .....;JAÉN;70;;;;70
Hijos del Trabajo .. ..............................;1904;Mejorar las condiciones del trabajl?';La Guardia.......;JAÉN;100;;;;100
Paz y Libertad (agricultores) ....................;1903;Idem...........................;Porcuna..........;JAÉN;220;;;;220
Círculo de Artesanos.............................;1904;Recreo . .... ...... .: ........... , ........;Santiago de Calatrava. ..........;JAÉN;100;;;;100
Sociedad de;1903;Mejorar las condiciones del trabajo.;Torre del Campo ..;JAÉN;18;;;;18
El Porvenir del;1904;Idem...........................;Torredonjimeno . ..;JAÉN;1.200;;;;1.200
La Regeneración . .......'........................;1899;Cooperativa de consumo ..........;Idem. ................;JAÉN;49;;;;49
Sociedad Obrera del;1902;- Mejorar las condiciones del trabajo.;Valdepenas. ..........;JAÉN;19;;;;19
" Amigos de la Instrucción. """;1895; Instrucción....................•.. -;Idem. ...................;JAÉN;127;;;;127
