NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Sociedad de Ebanistas, Carpinteros y similares .;1903;Mejorar las condiciones del trabajo.;CÁCERES;CÁCERES;62;;;;62
Asociación de Dependientes .;1904;Idem;Idem;CÁCERES;43;;;14;57
Sociedad deAlbañiles y similares .;1904;Idem;Idem;CÁCERES;206;;;;206
Circulo de Artesanos .;1862;Recreo............. . . . . . . . . . . . . .;Idem;CÁCERES;644;5;1;;650
La Evolución (obreros tundidores y percheros) .;1902;Mejorar las condiciones del trabajo.;Hervás;CÁCERES;48;;;;48
"Sociedad de Tintoreros, Lavadores de lana y similares "" .";1902;Idem;Idem;CÁCERES;23;;;;23
"Sociedad de Hiladores, Cardadores, Bataneros y similares '"" "" ..";1902;Idem;Idem;CÁCERES;90;;;;90
"La Esperanza (obreros curtidores) "" .";1902;Idem;Idem;CÁCERES;34;;;;34
Unión ó Federación obrera .;1903;Idem;Idem;CÁCERES;;;;;0
La Mutua protección al Obrero (obreros agricultores) '.' :;1904;Idem;. Logrosán;CÁCERES;102;;;;102
Circulo Obrero de Socorros mutuos .;1904;Socorro mutuo;Campo;CÁCERES;112;;1;;113
"Fomento de Obreros del campo. '"" .;. "" .";1903;Mejorar las condiciones del trabajo.;Casas de Millón;CÁCERES;176;;;;176
Vida Nueva : .;1904;Socorro mutuo;, . Galisteo;CÁCERES;24;;1;;25
La Unión protectora de Obreros del campo '.' ..;1904;Mejorar las condiciones del trabajo.;Mirabel;CÁCERES;100;;;;100
Aurora del Proletariado ' .;1903;Socorro mutuo;. Pedroso;CÁCERES;30;;;;30
Sociedad de Obrero~ corcho-taponeros .;1903;Mejorar las condiciones del trabajo.;Serrejón. ¡ •.••••••;CÁCERES;55;;;;55
"La Protectora (obreros del campo) : .. """;1904;Idem;. Idem;CÁCERES;75;;;;75
El Trabajo (obreros albaiLiles)., '.' .;1903;Idem;Torrejoncillo.,;CÁCERES;37;;;;37
"La Neutral (obreros hiladores', cardadores y similares) '"" ..";1903;Idem;. Idem;CÁCERES;64;;;;64
"El Porvenir (obreros del campo) """;1903;Idem;. Idem;CÁCERES;347;;;;347
LaProtectora (obreros tejedores de paños);1903;Idem;. Idem;CÁCERES;298;;6;;304
