NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
La Fraternal;1903;Socorro mutuo.;CUENCA;CUENCA;99;2;;62;163
Esperanza del Obrero~;1902;Idem. .. .;Motilla del Palaucar .;CUENCA;188;;12;8;208
Circulo Obrero Católico;1901;Acción católica.. . . . .. . . . . . . . . ....;Barchin del Hoyo.;CUENCA;55;;;5;60
La Fraternidad;1903;Socorro mutuo.;Casas de Benítez ..;CUENCA;114;;3;10;127
La Fraternidad;1901;Idem;Casasimarro ¡ .;CUENCA;209;;;;209
La Unión;1902;Idem... .;Quintanar del Rey;CUENCA;213;;;27;240
El Porvenir del Obrero;1902;Idem ,;Sisante .;CUENCA;273;1;;10;284
La Esperanza;1902;Idem. . . . . . . . . . . . . . . . . . . . . . . . . ..;Tévar.. .;CUENCA;78;;;6;84
LOClCdad Obrera de Socorros mutuos;1899;Idem ,;Villanueva de la Jara;CUENCA;339;;2;13;354
