NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;Observaciones
Centro Católico de Obreros .;1890;. Acción católica...................;CÁDIZ;CÁDIZ;190;;80;60;330;
"Sociedad de Tipógrafos. '. "" ~ ..";1893;Mejorar las condiciones del trabajo.;Idem. ...............;CÁDIZ;60;;;;60;Tiene organizado, desde Septiem- bre de 1901, un tallet donde ocu- pa á los socios parados, hacién- dose un reparto por partes igua- les del producto del trabajo
"La Solidaridad (obreros fogoneros, marineros y similares) ' "" ' .";1901;Idem...........................;Idem. ..................;CÁDIZ;983;;;;983;
Sociedad de Modelistas, Fundidores y demás Obreros en hierro y similares .;1901;Idem...........................;Idem. ....................;CÁDIZ;15;;;;15;
La Unión (Sociedad del personal de fondas de mar y tierra) .;1901;Idem...........................;Idem. ..................;CÁDIZ;407;;15;;422;
Asociación de Dependientes de la Administración de Justicia y sus asimilados .;1902;Idem...........................;Idem. ................;CÁDIZ;23;;3;5;31;
Caja de Auxilios del personal obrero de la Fábrica de Tabacos ';1901;Socorro Mutuo....................;Idem. ..................;CÁDIZ;1104;;;;1104;
"Academia popular de San Jase...""...............•";1882;Instruccion;Idem .;CÁDIZ;500;;;8;508;"Tiene clases diurnas y nocturnas para la educacion de mujeres; talleres en que se fabrican cajas de carton; de costura, bordados, flores artificiales, etcetera, y una fonda popularque expende comidas por 0,15 pesetas"
Centro Instructivo Obrero;1899;Mejorar las condiciones del trabajo.;Algeciras;CÁDIZ;356;;;;356;Sostiene dos escuelas laicas para dos sexos
El ,Cilindro (Sociedad de obreros manuales e intelectuales del ferrocarril de Bobadilla á Algeciras);1901;Idem...........................;Idem;CÁDIZ;40;;;;40;
Sociedad de Molineros areneros;1899;Idem ! ..;Arcos de la Frontera;CÁDIZ;22;;;;22;
Sección Viaria;1899;Idem;Idem;CÁDIZ;300;;;;300;
Centro de Viticultores;1900;Idem;Chiclana ,de la Frontera;CÁDIZ;350;;;;350;
Gremio de Toneleros;1897;Idem.. . . . . . . . . . . . . . . . . . . . . . . . ..;Jerez de la Frontera;CÁDIZ;150;;;;150;
Gremio de Obreros agricultorrs;1898;ldem.. . . . . . . . . . . . . . . . . . . . . . . . . .;Idem;CÁDIZ;459;;;;459;
Sociedad de Viticultores;1899;Idem.. . . . . . . . . . . . . . . . . . . . . . . . . .;ldem;CÁDIZ;200;;;;200;
Sociedad de Albañiles;1900;ldem;ldem;CÁDIZ;115;;;;115;
La Locomotora (obreros y empleados de los ferrocarriles Andaluces);1903;ldem;Idem;CÁDIZ;170;60;20;;250;
Socorros mutuos de Repartidores;1902;Socorro mutuo .;Idem;CÁDIZ;10;;;;10;
Sociedad de Obreros agricultorrs;1903;Mejorar las condiciones del trabajo.;.l\Iedina-Sidonia;CÁDIZ;300;;;;300;
La Reforma (Sociedad de oficiales toneleros);1897;"Idem '"" "" .";Puerto de Santa María;CÁDIZ;188;;;;188;
La Esperanza (Sociedad de arrumbadores);1899;Idem .;Idem;CÁDIZ;50;;;;50;
Agrupacion Socialista Obrera;1901;Política de partido ' .;Idem;CÁDIZ;41;;;;41;
Sociedad de Viticultores;1899;Mejorar las condiciones del trabajo.;Sanlúcar de Barrameda;CÁDIZ;800;;;;800;
La Redención'.. .;1901;Idem;Alcalá de los Gazules;CÁDIZ;28;;2;;30;
Sociedad de Agricultores;1900;Idem;Algar;CÁDIZ;30;;;;30;
Sociedad obrera de Oficios;1902;Idem;Idem;CÁDIZ;16;;;;16;
Sociedad de Agricultores......•................. :;1900;Mejorar las condiciones del trabajo.;Benaocaz. ........;CÁDIZ;20;;;;20;
Sociedad de Obreros agricultores...... : ..........;1900;Idem...........................;Espera... ..•......;CÁDIZ;482;;2;;484;
Sociedad de Agricultores. .......... , .............;1900;Idem., .........................;Prado del Rey. ...;CÁDIZ;140;;;;140;
Centro Obrero...................................;1885;Socorro mutuo ...................;San Fernando ... ...;CÁDIZ;327;5;23;45;400;
La Mutua Obrera................ ~ ...............;1904;Mejorar las condiciones del trabajo.;Tarifa............;CÁDIZ;80;;;;80;
Sociedad de Agricultores .......'.................;1900;Idem...........................;Ubrique'. ....•....;CÁDIZ;949;;;;949;
Centro de Artesanos y Obreros...................;1900;Idem......•......................;ldem...........;CÁDIZ;125;;;;125;
La Defensa (Sociedad. de agricultores)……•.....;1900;Idem...........................;Villamartín .. ...•.;CÁDIZ;90;;;;90;
CIrculo Obrero de fusion republicana.............;1903;Política de partido................;Idem.•........•;CÁDIZ;17;;;;17;
