NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Circulo de Obreros Catolicos;?;Acción católica.;..................1 HUESCA.•.......;HUESCA;70;;;96;166
Orfeón Oscense.;1902;Coral;............................ Idem...........;HUESCA;50;;1;50;101
La Protectora mutua. ...........................;1897;Socorro mutuo ;................... Boltaña.........;HUESCA;120;;6;;126
Sociedad de Oficiales albañiles .......... : ... : ....;1903;Mejorar las condiciones del trabajo;. Fraga ............;HUESCA;20;;;;20
Sociedad Obrera de Socorros Mutuos;1904;Socorro mutuo ;................... Castillonroy. .....;HUESCA;53;;;;53
