NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Fraternidad Obrera;1904;:\fejorar las condiciones del trabajo.;Almadén .........;CIUDAD REAL;378;;2;;380
El Porvenir;1901;Cooperativa de consumo;Idem;CIUDAD REAL;665;;;;665
La Esperanza;1904;Idem o ••••;Idem;CIUDAD REAL;140;;1;;141
Centro Obrero Almagueño;1901;Mejorar las condiciones del trabajo.;Almagro.........;CIUDAD REAL;50;;;;50
'Siglo XX;1900;Socorro mutuo.. ..;Almodóvar del Campo;CIUDAD REAL;91;;45;;136
Fraternidad Obrera;1904;Cooperativa de consumo;. Fontanosas (Almodóvar del Campo);CIUDAD REAL;49;;;;49
Unión Obrera;1904;Socorro mutuo. . . . . • .;Carrion de Calatrava;CIUDAD REAL;100;;;;100
Centro Instructivo de Obreros y de Socorros mutuos;1904;Idem;. Daimiel ..........;CIUDAD REAL;150;;;;150
La Unión Obrera;1900;Idem.;Horcajo de los Montes;CIUDAD REAL;120;;;;120
El Progreso (obreros en carbón).. . . . . . . . . . . . . . . ..;1903;Mejorar las condiciones del trabajo.;Puertollano. ......;CIUDAD REAL;45;;2;;47
Centro Obrero de Socorros mutuos;1900;Socorro mutuo;Valdepeñas . ......;CIUDAD REAL;109;;;1;110
La Humanitaria.;1903;Idem;. Villamayor de Calatrava .........;CIUDAD REAL;150;;;;150
Centro Obrero;1904;Instrucción;. Villarrubia de los Ojos.. ..........;CIUDAD REAL;19;;;;19
La Redencion del Obrero;1904;Cooperativa de consumo;. Villarta de San Juan ...........;CIUDAD REAL;104;;1;;105
