NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;Observaciones
Sociedad de Peineros..............................;1902;Idem;Idem;VALENCIA;120;;;;120;
Sociedad de Tejedores de seda y ramos anexos.;1902;Idem;Idem;VALENCIA;80;;;;80;
"El Rubí (Sociedad de plateros).............. """;1902;Idem;Idem;VALENCIA;124;;;;124;
La Gutenberg (Sociedad de tipógrafos y encuadernadores)......................................;1902;Idem;Idem;VALENCIA;200;;;;200;
Unión Ultramarino-colonial de Dependientes ......;1902;Idem;Idem;VALENCIA;170;2;7;38;217;
La Igualadora (Sociedad de oficiales sastres) .....;1903;Idem;Idem;VALENCIA;40;;;;40;
Sociedad de Obreros cerrajeros. ........... ... ...;1903;Idem;Idem;VALENCIA;146;;;14;160;
Sociedad de Obreros talabarteros y similares.;1903;Idem;Idem;VALENCIA;48;8;4;;60;
Sociedad de Obreros vidrieros y similares ........;1903;Idem;Idem;VALENCIA;54;;;;54;
Estampación Tipográfica ........................;1903;Idem;Idem;VALENCIA;170;;;;170;
La Defensa (carpinteros mecánicos)..............;1903;Idem;Idem;VALENCIA;50;;;;50;
Sociedad Obrera de Socorro á loa inválidos del trabajo en general. ...............................;1890;Socorro mutuo....................;Idem;VALENCIA;133;;1;11;145;
Sociedad de Socorros mutuos de Cocheros.........;1892;Idem............ : .............;Idem;VALENCIA;89;;;;89;
Sociedad de Socorros mutuos de Obreros doradores.;1901;Idem. .........................;Idem;VALENCIA;79;;;2;81;
Agrupación Socialista...........................;1886;Política de partido ...............;Idem;VALENCIA;96;;;;96;
Partido Socialista Revolucionario ................;1904;Idem...........................;Idem;VALENCIA;?;?;?;?;?;
La Unión de Trabajadotes.......................;1901;Cooperativa de consumo ..........;VALENCIA (Nazaret);VALENCIA;350;;;;350;
"Unión de los Trabajadores toneleros........... '""";1899;Mejorar las condiciones del trabajo.;Idem;VALENCIA;518;;;;518;
Unión de Albañiles..............................;1900;Idem..........................;ldem...........;VALENCIA;140;;;;140;
Sociedad de Braceros....•.......................;1900;Idem...........................;Idem..... l ••••;VALENCIA;450;;;;450;
Sociedad de Oficiales carpinteros.................;1900;Idem...........................;Idem...........;VALENCIA;60;;;;60;
Sociedad de Oficiales carpinteros de ribera.........;1902;ldem.......... , ...............;Idem...........;VALENCIA;42;;;;42;
El Progreso Pescador (marineros pescadores).....;1902;Idem..........................;Idem. ..........;VALENCIA;1.320;;;100;1420;
Unión Obrera ... '................................;1904;Idem. ...........................;Idem. . .........;VALENCIA;634;1;1;;636;
El Amparo jornalero del trabajo del campo. .... ;1904;Idem. •••••••••••• 0 ••••••••••••;Idem...........;VALENCIA;277;;;;277;
El Nivel (obreros albañiles)......................;1902;Idem. •••••••••••••••••••••• o ••;Játiva.. : .........;VALENCIA;169;;;;169;
"Sociedad de Obreros.............. "" ..••••••••";1904;Idem.....•....................•.;Alacuás...........;VALENCIA;50;;;;50;
Sociedad de Obreros agricultores.................;1904;"Idem. ................. "" "" .....";Aldaya ...........;VALENCIA;212;;;;212;
El Progreso. . ..................................;1904;Cooperativa de consumo..........;Burjasot. ........;VALENCIA;180;;;;180;
