NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;Observaciones
"Círculo Católico Obrero-cooperativo de San Vicente Ferrer , : .....•........... """;1881;Acción católica .. , ................;Valencia;VALENCIA;129;;1;136;266;
"Patronato de la Juventud Obrera"" , . ,";1885;Idem, ............................;Idem. . ........... ,;VALENCIA;800;;;170;970;Tiene organizadas siete escuelas nocturnas
La Constructora Valenciana (obreros ,albañiles);1751;Mejorar las condiciones del trabajo.;Idem. -, .........;VALENCIA;182;;2;50;234;
Sociedad Tipográfica , ,;1882;1 Idem. ........ .o ..............................;Idem. .. ........... o·.;VALENCIA;40;;;;40;
Sociedad de Aserradores y Afiladores mecánicos, .;1888;Idem. .. • ..... 1 .... ..................;Idem. . ...... ..;VALENCIA;374;;;;374;
Sociedad de Oficiales de sillas ordinarias;1888;Idem. .............................;Idem. . .........;VALENCIA;50;;;;50;
Asoeiación de Obreros en general..;1891;Idem. ............................;Idem. . .........;VALENCIA;175;2;25;20;222;
Sociedad de Confiteros y Pasteleros;1892;Idem. ..... e ••••••••••••;"Idem. . ... '"" '"" ""' ...";VALENCIA;120;;;;120;
La Defensa (Sociedad de afiladores);1899;Idem. ..........................;Idem. .. .............;VALENCIA;72;;;;72;
El Porvenir (Sociedad de obreros curtidores) .. , ..;1899;Idem. ...........................;ldem. .. ... .. ...;VALENCIA;310;;;;310;
La Solidaridad (Sociedad de ebanistas y oficios similares)., .. , ,';1899;. Idem. ... ....... ........... .....;Idem. ...........;VALENCIA;987;;;;987;
La Unión (obreros carpinteros);1900;Idem. .........................;Idem. . .........;VALENCIA;247;;2;;249;
Sociedad de Operarios de la Industria de bebidas gaseosas , .. '.' ~;1900;"Idem .................... ,."" ...";"Idem. ... "" ..... ""'.";VALENCIA;120;;;;120;
"Sociedad Litográfica "" .. ,";1900;Idem. ... .... ......... .........;Idem. ...........;VALENCIA;144;;;;144;
Sociedad de Broncistas, Lampistas y similares...•;1900;Idem. .. ......... ...... ................;Idem. ..............;VALENCIA;300;;;;300;
Sociedad de Maquinistas y' Fogoneros de máquinas fijas ..•............ '.•.........................;1900;. Idem. ... ................. .......;Idem. .............;VALENCIA;118;;;;118;
"Sociedad de Obreros en el arte de varillajes para abanicos , ' ; """;1900;Idem, .. ........ ..... ....... ......;ldem. ............;VALENCIA;350;;;;350;
La Fidelidad (Sociedad de dependientes de cafes, fondas, etc.) ............•.....................;1900;Mejorar las condiciones del trabajo.;Idem;VALENCIA;220;8;2;20;250;
Sociedad de Constructores de carros y similares...;1900;Idem;Idem;VALENCIA;180;;;;180;
Sociedad de Trabajadores de la elaboración del pan;1900;Idem;Idem;VALENCIA;551;;3;;554;
Sociedad de Obreros tallistas....................•;1900;Idem;Idem;VALENCIA;100;20;30;;150;
Sociedad de Obreros constructores de carruajes y similares ......................................;1900;Idem;Idem;VALENCIA;60;;;;60;
Sociedad de Dependientes peluqueros-barberos ...;1901;Idem;Idem;VALENCIA;240;;;;240;
La Veloz (Sociedad de cocheros)..................;1901;Idem;Idem;VALENCIA;269;;;;269;
