NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
"Centro Católico de Obreros de San José... "" ......";1903;Acción católica...................;CORUÑA;LA CORUÑA;587;;;96;683
La Emancipación (obreros carpinteros)...........;1883;Mejorar las condiciones del trabajo.;Idem...........;LA CORUÑA;400;;;;400
Asociación Tipográfica...........................;1892;Idem. .........................;Idem...........;LA CORUÑA;84;;;;84
Fraternidad (obreros y obreras sastres) ..........;1901;"Idem..... '"" ..................";Idem;LA CORUÑA;250;;;;250
"Las Ocho (obreros constructores de carruajes) ..·. """;1902;Idem..........................;Idem...........;LA CORUÑA;30;;;;30
La Honradez (obreros panaderos) ................;1903;Idem..........................;Idem...........;LA CORUÑA;52;;;;52
Caja de Auxilios en beneficio del personal obrero de la Fábrica de Tabacos......................;1902;Socorro mutuo....................;Idem...........;LA CORUÑA;2.448;;;1;2449
"Agrupación Socialista.. ; ........................";1894;Política de partido................;Idem...........;LA CORUÑA;22;;;;22
Sociedad de Zapateros ...........................;1900;Mejorar las condiciones del trabajo.;Betanzos .........;LA CORUÑA;32;;;;32
Asociación de Obreros agricultores ...............;1900;Idem. .........................;Idem. . .........;LA CORUÑA;208;;;;208
Sociedad de Oficios varios........................;1900;Idem;Idem...........;LA CORUÑA;52;;;;52
La Prosperidad (obreros carpinteros) ............;1903;Idem. .........................;Idem...........;LA CORUÑA;60;;;;60
El Avance (obreros canteros);1903;Idem. ..............................................;Idem;LA CORUÑA;30;;;;30
La Humanitaria;1901;Socorro mutuo;Idem;LA CORUÑA;48;;;;48
Sociedad de Albañiles y sus ayudantes...........;1904;Mejorar las condiciones del trabajo.;El Ferro!. ........;LA CORUÑA;106;;;;106
Asociación de Marineros del puerto de Esteiro.....;1900;Idem..........................;Muros;LA CORUÑA;50;;;;50
Gremio de Operarios zapateros...................;1902;Idem..........................;Noya.............;LA CORUÑA;44;;;;44
Sociedad de Canteros y sus similares.............;1903;Idem;Idem...........;LA CORUÑA;92;;;;92
"Agrupación Socialista............ '"" ............";1903;Política de partido ...............;Idem. ....................;LA CORUÑA;23;;;;23
Círculo Católico de Obreros de la Sagrada Familia.;1896;Acción católica...................;Santiago .........;LA CORUÑA;380;;7;170;557
Sociedad de Canteros............................;1894;Mejorar las condiciones del trabajo.;Idem...........;LA CORUÑA;226;;;;226
Sociedad de Carpinteros .........................;1894;Idem;Idem...........;LA CORUÑA;110;;;;110
Sociedad de Ebanisteria;1901;Mejorar las condiciones del trabajo.;Santiago;LA CORUÑA;103;;;;103
Sociedad de Constructores de calzado;1901;Idem;Idem;LA CORUÑA;130;;;;130
Union Obrera benefica e instructiva;1892;Socorro mutuo;Idem;LA CORUÑA;196;;2;2;200
Asociacion de Marineros;1901;Mejorar las condiciones del trabajo.;Carriera (Ribera);LA CORUÑA;208;;;;208
Sociedad de Obreros agricultores;?;Idem;Paderne;LA CORUÑA;?;?;?;?;?
Centro de Trabajo;1904;Idem;Son;LA CORUÑA;92;;;6;98
