NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Asociacion de Obreros del Arte de Imprimir y sus ramos afines;1899;Mejorar las condiciones del trabajo.;"SEVILLA ... ; ....";SEVILLA;119;;;;119
Asociación del Gremio de Carpinteros y sus ramos afines;1900;Idem;Idem;SEVILLA;500;;;;500
Asociación de Obreros albañiles;1900;Idem;Idem;SEVILLA;1562;;;;1562
Sociedad de Sombrereros·planchistas;1901;Idem;Idem;SEVILLA;150;;;;150
La Igualdad (obreros guanteros);1901;Idem;Idem;SEVILLA;15;;;;15
Sociedad del Gremio de Hojalateros de envases.;1901;Idem;Idem;SEVILLA;19;;;;19
Asociación de Dependientes de Comercio;1902;Idem;Idem;SEVILLA;423;1;2;4;430
Sociedad de Fundidores y similares;1903;Idem;Idem;SEVILLA;205;;;;205
Los Hijos del Oficio (obreros albañiles);1903;Idem;Idem;SEVILLA;422;;;;422
El Faro (obreros confiteros y pasteleros);1904;Idem;Idem;SEVILLA;100;;;;100
Avante (obreros marineros);1904;Idem;Idem;SEVILLA;216;;;;216
Sociedad de Vendedores de periódicos;1904;Idem;Idem;SEVILLA;56;;;;56
El Guadalquivir;1903;Cooperativa de consumo ..........;Idem;SEVILLA;295;;2;2;299
Los Menestrales;1846;"Socorro mutuo.............. '"" ...";Idem;SEVILLA;200;;1;;201
Sociedad de Socorros mutuos de Artesanos honrados;1854;Idem;Idem;SEVILLA;160;;;;160
Sociedad de Socorros mutuos de Cameros;1899;Idem;Idem;SEVILLA;150;;;;150
Protección Obrera;1899;Idem;Idem;SEVILLA;100;;;;100
La Agricultora;1900;Idem;Idem;SEVILLA;150;;;;150
Unión Obrera;1900;Idem;Idem;SEVILLA;79;;;;79
El Auxilio del Obrero;1901;Idem;Idem;SEVILLA;51;;1;;52
Caja de Auxiliares en beneficio del personal obrero de la Fabrica de Tabacos;1901;Socorro mutuo;Idem;SEVILLA;?;?;?;?;?
Union Artistico-Industrial;1904;Idem;Idem;SEVILLA;64;;12;;76
Primero de Mayo (agrupacion socialista);1902;Politica de partido;Idem;SEVILLA;21;;;;21
Centro Instructivo de Obreros Republicanos;1904;Idem;Idem;SEVILLA;178;;1;;179
Sociedad Gremial de Albañiles;1898;Mejorar las condiciones del trabajo.;Carmona;SEVILLA;363;;1;;364
Sociedad Gremial de Carpinteros;1898;Idem;Idem;SEVILLA;90;;;;90
La Union obrera de calzado y sus ramos afines;1902;Idem;Ecija;SEVILLA;103;;4;;107
La Defensa de Gremio de Albaniles;1902;Idem;Idem;SEVILLA;314;;;;314
El Progreso (obreros carpinteros);1903;Idem;Idem;SEVILLA;40;;;;40
Sociedad de Obreros encaladores;1903;Idem;Idem;SEVILLA;11;;;;11
La Protección (obreros carpinteros);1902;Socorro mutuo;Idem;SEVILLA;50;;;;50
Circula Obrero Independiente;1903;Instrucción;Idem;SEVILLA;300;;;70;370
La Verdad (obreros agricultores y similares);1902;Mejorar las condiciones del trabajo.;Estepa;SEVILLA;32;;;;32
Casino de Artesanos;1888;Instrucción y Recreo;Moron;SEVILLA;135;;;;135
Centro Benefico, Instructivo y Economico de Obreros;1903;Socorro mutuo;Alacalá de Guadaira;SEVILLA;143;;1;41;185
Celeste Imperio;1903;Instrucción y Recreo;Idem;SEVILLA;150;;;;150
Progreso y Fraternidad;1903;Mejorar las condiciones del trabajo.;Badolatosa;SEVILLA;170;;2;;172
La Libertad;1900;Idem;Brenes;SEVILLA;424;;;;424
La Constancia;1903;Idem;Cantillana;SEVILLA;571;193;1;1;766
Sociedad Obrera de Socorros Mutuos;1903;Socorro mutuo;Carrión de los Céspedes;SEVILLA;38;;;;38
El Coriano Trabajador;1903;Mejorar las condiciones del trabajo.;Coria del Rio;SEVILLA;463;;;;463
La Alegria;1904;Cooperativa de consumo ……….;El Castillo de las Guardas (El Madroño);SEVILLA;41;;;;41
Circulo Instructivo de Obreros agricultores;1903;Instrucción:  ••;El Coronil;SEVILLA;32;;;;32
"Unión Obrera """;1904;Socorro mutuo.. . . . . . . . .. . . . . . . . ..;Espartinas........;SEVILLA;70;;;;70
Liga Obrera;1903;Mejorar las condiciones del trabajo.;La Luisiana.;SEVILLA;126;;1;;127
Unión y Fraternidad (obreros agricultores);1900;Idem.;Las Cabezas de San Juan;SEVILLA;499;;1;;500
Sociedad de Agricultores, Artes y Oficios;1904;Idem.;Palomares;SEVILLA;20;;;;20
